,DivisionNm,CountNumber,BallotPosition,PartyAb,PartyNm,Elected,HistoricElected,PreferenceCount,PreferencePercent
562,Isaacs,4,5,ALP,Australian Labor Party,Y,Y,54645.0,56.43
565,Jagajaga,3,2,ALP,Australian Labor Party,Y,N,55304.0,56.57
567,Jagajaga,3,4,LP,Liberal,N,N,42463.0,43.43
570,Kennedy,4,2,KAP,Katter's Australian Party (KAP),Y,Y,58231.0,63.33
573,Kennedy,4,5,LNP,Liberal National Party of Queensland,N,N,33717.0,36.67
577,Kingsford Smith,5,3,ALP,Labor,Y,Y,55501.0,58.81
581,Kingsford Smith,5,7,LP,Liberal,N,N,38875.0,41.19
582,Kingston,3,1,ALP,Australian Labor Party,Y,Y,65708.0,61.94
583,Kingston,3,2,LP,Liberal,N,N,40373.0,38.06
590,Kooyong,6,4,LP,Liberal,Y,Y,55159.0,55.7
593,Kooyong,6,7,GVIC,The Greens (VIC),N,N,43870.0,44.3
597,La Trobe,5,3,LP,Liberal,Y,Y,53776.0,54.49
600,La Trobe,5,6,ALP,Australian Labor Party,N,N,44913.0,45.51
603,Lalor,4,2,LP,Liberal,N,N,35137.0,37.59
604,Lalor,4,3,ALP,Australian Labor Party,Y,Y,58341.0,62.41
610,Leichhardt,6,3,ALP,Australian Labor Party,N,N,41147.0,45.83
614,Leichhardt,6,7,LNP,Liberal National Party of Queensland,Y,Y,48638.0,54.17
619,Lilley,5,4,LNP,Liberal National Party of Queensland,N,N,47688.0,49.36
620,Lilley,5,5,ALP,Australian Labor Party,Y,N,48917.0,50.64
624,Lindsay,7,2,ALP,Labor,N,N,43789.0,44.96
625,Lindsay,7,3,LP,Liberal,Y,N,53614.0,55.04
632,Lingiari,4,1,ALP,Australian Labor Party (Northern Territory) Branch,Y,Y,26863.0,55.46
637,Lingiari,4,6,CLP,Country Liberals (NT),N,N,21571.0,44.54
638,Longman,6,1,LNP,Liberal National Party of Queensland,Y,N,53037.0,53.28
641,Longman,6,4,ALP,Australian Labor Party,N,Y,46512.0,46.72
646,Lyne,7,1,ALP,Labor,N,N,35238.0,34.83
647,Lyne,7,2,NP,The Nationals,Y,Y,65942.0,65.17
656,Lyons,4,2,ALP,Australian Labor Party,Y,Y,39491.0,55.18
659,Lyons,4,5,LP,Liberal,N,N,32073.0,44.82
662,Macarthur,5,2,ALP,Labor,Y,Y,58110.0,58.4
665,Macarthur,5,5,LP,Liberal,N,N,41394.0,41.6
672,Mackellar,5,5,ALP,Labor,N,N,36138.0,36.78
673,Mackellar,5,6,LP,Liberal,Y,Y,62124.0,63.22
678,Macnamara,7,4,LP,Liberal,N,N,42479.0,43.75
683,Macnamara,7,9,ALP,Australian Labor Party,Y,N,54613.0,56.25
684,Macquarie,3,1,LP,Liberal,N,N,48290.0,49.81
686,Macquarie,3,3,ALP,Labor,Y,Y,48661.0,50.19
689,Makin,3,1,ALP,Australian Labor Party,Y,Y,63726.0,59.72
690,Makin,3,2,LP,Liberal,N,N,42978.0,40.28
698,Mallee,11,5,NP,The Nationals,Y,N,62143.0,66.23
701,Mallee,11,8,ALP,Australian Labor Party,N,N,31684.0,33.77
708,Maranoa,5,2,LNP,Liberal National Party of Queensland,Y,Y,67239.0,72.49
712,Maranoa,5,6,ON,Pauline Hanson's One Nation,N,N,25521.0,27.51
716,Maribyrnong,2,3,ALP,Australian Labor Party,Y,Y,61767.0,61.2
717,Maribyrnong,2,4,LP,Liberal,N,N,39157.0,38.8
718,Mayo,4,1,LP,Liberal,N,N,50552.0,44.86
723,Mayo,4,6,XEN,Centre Alliance,Y,Y,62124.0,55.14
726,McEwen,6,3,ALP,Australian Labor Party,Y,Y,52892.0,55.02
727,McEwen,6,4,LP,Liberal,N,N,43236.0,44.98
735,McMahon,4,4,ALP,Labor,Y,Y,48364.0,56.64
737,McMahon,4,6,LP,Liberal,N,N,37029.0,43.36
738,McPherson,7,1,ALP,Australian Labor Party,N,N,34976.0,37.8
742,McPherson,7,5,LNP,Liberal National Party of Queensland,Y,Y,57545.0,62.2
748,Melbourne,5,2,GVIC,The Greens (VIC),Y,Y,66852.0,71.83
751,Melbourne,5,5,LP,Liberal,N,N,26212.0,28.17
755,Menzies,4,2,LP,Liberal,Y,Y,56568.0,57.53
756,Menzies,4,3,ALP,Australian Labor Party,N,N,41758.0,42.47
760,Mitchell,3,1,ALP,Labor,N,N,30938.0,31.37
761,Mitchell,3,2,LP,Liberal,Y,Y,67698.0,68.63
768,Monash,5,4,ALP,Australian Labor Party,N,N,42850.0,42.64
770,Monash,5,6,LP,Liberal,Y,Y,57631.0,57.36
773,Moncrieff,6,2,LNP,Liberal National Party of Queensland,Y,N,60079.0,65.36
778,Moncrieff,6,7,ALP,Australian Labor Party,N,N,31840.0,34.64
781,Moore,6,2,LP,Liberal,Y,Y,54735.0,61.65
785,Moore,6,6,ALP,Australian Labor Party,N,N,34044.0,38.35
789,Moreton,4,2,ALP,Australian Labor Party,Y,Y,47045.0,51.9
792,Moreton,4,5,LNP,Liberal National Party of Queensland,N,N,43597.0,48.1
797,New England,6,4,NP,The Nationals,Y,Y,62637.0,64.36
799,New England,6,6,IND,Independent,N,N,34683.0,35.64
802,Newcastle,5,1,ALP,Labor,Y,Y,65784.0,63.83
808,Newcastle,5,7,LP,Liberal,N,N,37283.0,36.17
809,Nicholls,6,1,NP,The Nationals,Y,Y,66732.0,70.03
813,Nicholls,6,5,ALP,Australian Labor Party,N,N,28560.0,29.97
818,North Sydney,5,2,ALP,Labor,N,N,39438.0,40.73
823,North Sydney,5,7,LP,Liberal,Y,Y,57398.0,59.27
826,O'Connor,7,3,ALP,Australian Labor Party,N,N,30536.0,35.52
828,O'Connor,7,5,LP,Liberal,Y,Y,55421.0,64.48
833,Oxley,5,1,LNP,Liberal National Party of Queensland,N,N,39473.0,43.61
835,Oxley,5,3,ALP,Australian Labor Party,Y,Y,51050.0,56.39
845,Page,5,6,NP,The Nationals,Y,Y,64295.0,59.45
846,Page,5,7,ALP,Labor,N,N,43856.0,40.55
848,Parkes,4,2,NP,The Nationals,Y,Y,62859.0,66.91
850,Parkes,4,4,ALP,Labor,N,N,31093.0,33.09
853,Parramatta,4,1,LP,Liberal,N,N,39368.0,46.5
854,Parramatta,4,2,ALP,Labor,Y,Y,45302.0,53.5
859,Paterson,4,1,LP,Liberal,N,N,48471.0,44.96
861,Paterson,4,3,ALP,Labor,Y,Y,59348.0,55.04
866,Pearce,8,2,ALP,Australian Labor Party,N,N,42445.0,42.48
867,Pearce,8,3,LP,Liberal,Y,Y,57478.0,57.52
876,Perth,6,2,ALP,Australian Labor Party,Y,Y,48176.0,54.93
877,Perth,6,3,LP,Liberal,N,N,39530.0,45.07
884,Petrie,4,2,LNP,Liberal National Party of Queensland,Y,Y,59331.0,58.4
886,Petrie,4,4,ALP,Australian Labor Party,N,N,42266.0,41.6
889,Rankin,6,1,ALP,Australian Labor Party,Y,Y,47893.0,56.44
895,Rankin,6,7,LNP,Liberal National Party of Queensland,N,N,36971.0,43.56
899,Reid,4,3,ALP,Labor,N,N,43884.0,46.82
900,Reid,4,4,LP,Liberal,Y,N,49844.0,53.18
906,Richmond,6,4,ALP,Labor,Y,Y,54251.0,54.08
909,Richmond,6,7,NP,The Nationals,N,N,46069.0,45.92
911,Riverina,2,1,NP,The Nationals,Y,Y,70136.0,69.48
913,Riverina,2,3,ALP,Labor,N,N,30805.0,30.52
919,Robertson,6,5,LP,Liberal,Y,Y,52100.0,54.24
922,Robertson,6,8,ALP,Labor,N,N,43961.0,45.76
923,Ryan,5,1,ALP,Australian Labor Party,N,N,42403.0,43.97
927,Ryan,5,5,LNP,Liberal National Party of Queensland,Y,N,54023.0,56.03
930,Scullin,4,1,ALP,Australian Labor Party,Y,Y,65787.0,71.66
934,Scullin,4,5,LP,Liberal,N,N,26022.0,28.34
938,Shortland,5,3,ALP,Labor,Y,Y,54437.0,54.45
942,Shortland,5,7,LP,Liberal,N,N,45543.0,45.55
943,Solomon,4,1,ALP,Australian Labor Party (Northern Territory) Branch,Y,Y,29240.0,53.08
945,Solomon,4,3,CLP,Country Liberals (NT),N,N,25844.0,46.92
949,Spence,4,1,ALP,Australian Labor Party,Y,Y,65174.0,64.13
950,Spence,4,2,LP,Liberal,N,N,36455.0,35.87
958,Stirling,5,4,LP,Liberal,Y,N,48289.0,55.65
961,Stirling,5,7,ALP,Australian Labor Party,N,N,38490.0,44.35
963,Sturt,6,2,LP,Liberal,Y,N,62404.0,56.87
964,Sturt,6,3,ALP,Australian Labor Party,N,N,47328.0,43.13
970,Swan,8,1,LP,Liberal,Y,Y,44333.0,52.69
979,Swan,8,10,ALP,Australian Labor Party,N,N,39804.0,47.31
980,Sydney,4,1,LP,Liberal,N,N,29705.0,31.33
982,Sydney,4,3,ALP,Labor,Y,Y,65110.0,68.67
986,Tangney,7,1,ALP,Australian Labor Party,N,N,32144.0,38.53
992,Tangney,7,7,LP,Liberal,Y,Y,51275.0,61.47
997,Wannon,3,3,ALP,Australian Labor Party,N,N,41156.0,39.62
999,Wannon,3,5,LP,Liberal,Y,Y,62733.0,60.38
1005,Warringah,8,6,LP,Liberal,N,Y,39395.0,42.76
1007,Warringah,8,8,IND,Independent,Y,N,52728.0,57.24
1014,Watson,4,5,ALP,Labor,Y,Y,53518.0,63.52
1015,Watson,4,6,LP,Liberal,N,N,30732.0,36.48
1020,Wentworth,5,5,LP,Liberal,Y,N,46050.0,51.31
1022,Wentworth,5,7,IND,Independent,N,Y,43704.0,48.69
1024,Werriwa,4,2,LP,Liberal,N,N,41959.0,44.53
1028,Werriwa,4,6,ALP,Labor,Y,Y,52270.0,55.47
1031,Whitlam,4,3,NP,The Nationals,N,N,40130.0,39.09
1032,Whitlam,4,4,ALP,Labor,Y,Y,62541.0,60.91
1036,Wide Bay,5,2,ALP,Australian Labor Party,N,N,34593.0,36.85
1038,Wide Bay,5,4,LNP,Liberal National Party of Queensland,Y,Y,59279.0,63.15
1045,Wills,4,4,GVIC,The Greens (VIC),N,N,40192.0,41.83
1047,Wills,4,6,ALP,Australian Labor Party,Y,Y,55898.0,58.17
1051,Wright,6,4,ALP,Australian Labor Party,N,N,34322.0,35.42
1055,Wright,6,8,LNP,Liberal National Party of Queensland,Y,Y,62571.0,64.58
