LFHRP Labour Force Status and Hours Worked Not Stated,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Employed, hours of work not stated","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Labour force status not stated,Not applicable
Newcastle,43045,25734,2636,1143,3017,2669,41206,7560,25948
Nicholls,37889,21298,2771,1460,2272,1470,44778,10207,28010
No usual address (ACT),126,59,11,6,33,10,153,110,37
No usual address (NSW),1976,1048,146,156,701,238,4059,3215,741
No usual address (NT),401,96,54,14,59,25,886,744,204
No usual address (OT),6,0,4,0,3,3,22,10,9
No usual address (Qld),1750,980,194,160,754,234,5144,2470,824
No usual address (SA),402,246,48,35,242,68,1039,573,217
No usual address (Tas.),136,89,15,9,69,30,324,169,81
No usual address (Vic.),1196,641,109,84,411,202,2293,1886,747
No usual address (WA),1143,435,141,60,352,91,1846,1490,393
North Sydney,60427,22441,2474,1089,2085,1782,35849,7977,27395
O'Connor,43205,21476,3469,1447,2874,1348,39161,12294,31046
Oxley,47552,22361,2351,1372,4283,2820,40181,8398,37840
Page,33261,24409,2272,1296,3151,2131,54333,10138,28125
Parkes,42161,18299,2452,1591,3018,1551,41273,12034,31393
Parramatta,56076,23485,2162,1885,4404,3234,48846,10225,35998
Paterson,38666,22190,2478,1140,3379,2108,46692,8015,30967
Pearce,52937,26501,3526,1524,4607,2898,37665,10453,41654
Perth,50261,24188,2645,1195,3636,2543,33922,11255,21447
Petrie,46033,22773,2539,1356,3756,2503,43409,7934,32964
Rankin,49501,23799,2358,1729,5067,3080,43913,8224,41498
Reid,59273,26299,2405,1822,2970,2935,48508,9849,27300
Richmond,31784,26472,2215,1346,2473,1959,49887,11341,25434
Riverina,42062,21174,2460,1468,2481,1500,44365,9584,30697
Robertson,37349,22236,2238,1062,2318,1850,44134,6808,25101
Ryan,45892,26309,2520,934,2598,3319,38060,6205,27618
Scullin,42980,22748,2167,1756,3295,2576,44545,6370,31597
Shortland,36383,22446,2338,912,2614,1990,45943,5580,26267
Solomon,41423,12079,2330,1245,1852,1051,17147,9158,22013
Spence,39603,23054,2406,1315,5599,3091,52060,8210,37382
Stirling,43583,24026,2352,1225,3554,2442,37518,7966,25340
Sturt,46688,30182,2556,1050,3022,2817,53757,6062,28359
Swan,48884,25615,2688,1339,4367,3398,39973,11903,25033
Sydney,77675,29778,3039,1902,3296,3982,43615,23193,13707
Tangney,37189,23920,2066,795,2674,2566,37830,5018,23980
Wannon,38328,24232,3125,1486,2070,1334,44399,9182,26968
Warringah,51272,22850,2290,1051,1484,1429,31293,7645,28008
Watson,42642,23933,1802,2184,3463,3149,53960,8457,35210
Wentworth,54440,21110,2095,1147,1571,1437,28865,12897,22384
Werriwa,46336,20001,1748,1996,3350,2649,47519,8210,39092
Whitlam,38335,22582,2408,1069,2454,1915,47553,6902,29065
Wide Bay,28913,20584,2036,1024,3362,1890,50971,9193,24716
Wills,47681,25136,2307,1493,3041,2655,39972,8054,24559
Wright,43676,22965,2505,1497,2964,1925,39146,8852,32906
