INDP - 1 Digit Level,Accommodation and Food Services,Administrative and Support Services,"Agriculture, Forestry and Fishing",Arts and Recreation Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Financial and Insurance Services,Health Care and Social Assistance,Inadequately described,Information Media and Telecommunications,Manufacturing,Mining,Not applicable,Not stated,Other Services,"Professional, Scientific and Technical Services",Public Administration and Safety,"Rental, Hiring and Real Estate Services",Retail Trade,"Transport, Postal and Warehousing",Wholesale Trade
Gilmore,5420,2177,1155,830,6149,4912,613,872,8259,1477,486,2666,353,94234,679,2091,2566,5371,904,6514,1924,777
Gippsland,4161,1571,4513,642,5220,4779,2114,792,8231,1571,456,4061,1066,86294,750,2136,1990,4267,649,6351,1920,1020
Goldstein,3854,2358,205,1839,4315,7193,645,4736,8398,2591,2006,3658,229,76432,625,2059,10362,3039,1835,6629,1990,2644
Gorton,4461,2752,368,1148,7005,4892,893,2816,7947,2751,1147,6736,184,94798,1242,2698,3509,3774,1037,7884,7623,2630
Grayndler,5499,2950,137,2489,4133,8601,481,6356,9053,2370,4598,2854,96,67063,837,2525,12022,5219,1531,5897,2570,2225
Greenway,4375,2583,323,899,6618,5975,845,5232,10099,3079,1900,6196,107,88032,1187,2961,6021,5247,1107,8484,5072,3714
Grey,4608,2055,9502,506,4842,5715,799,820,8550,1437,348,5219,3558,99834,794,2460,1627,3840,607,6979,3000,1758
Griffith,6329,3036,254,1746,5792,8758,814,3793,11354,2205,1556,3346,1392,66875,675,2569,10000,5797,2070,6203,3135,2045
Groom,4080,1652,3241,637,5682,7474,737,1819,9988,1737,476,4613,1140,82343,620,2768,3054,4521,990,6430,2801,2048
Hasluck,3691,2147,606,1004,6529,5420,655,1278,7301,2654,614,4208,3475,77803,716,3100,3588,4476,1013,6395,4701,2245
Herbert,5674,2322,396,957,6025,6967,1112,1069,10859,1687,912,3297,1718,86864,736,2800,3121,10014,1158,7248,3457,1613
Higgins,5423,2935,288,2147,3792,7633,788,6224,10290,2562,2529,3583,249,75173,826,2189,13252,3464,2226,7871,2078,2754
Hindmarsh,4985,2641,426,1426,5789,6113,1089,2324,10614,1732,1013,6118,470,86379,697,3034,4310,5909,992,8041,3981,2555
Hinkler,4081,1654,2584,449,4089,4576,557,719,8775,1409,415,2592,871,93783,657,1975,1716,2613,870,6108,1727,893
Holt,3962,2816,897,1019,7847,4075,902,2309,9565,3349,1022,10072,144,89494,1360,3088,3279,2778,941,8611,4699,3588
Hotham,5136,3051,284,1219,4830,6900,717,3815,9015,2958,1715,6716,74,98409,1137,2861,7123,2888,1217,8316,3183,3290
Hughes,3955,2289,121,1294,6966,7257,774,4342,8523,2220,1401,4293,121,69216,676,3015,6374,6214,1253,6749,4739,2493
Hume,4159,2165,2795,942,8882,6455,944,1733,8178,2475,686,5137,830,77950,845,2971,3405,5353,1236,7094,4300,2098
Hunter,4942,2484,1380,680,5690,4518,1357,1290,8568,1819,467,4348,6543,91563,768,3052,2448,3473,917,6452,2617,1430
Indi,5108,2071,4961,829,5454,5260,603,893,8939,1824,466,5883,230,79871,814,2327,2373,5233,730,6301,2792,1441
Isaacs,4047,2486,445,1503,6706,6499,734,3361,8481,2689,1492,6794,126,76677,825,2783,6070,3737,1271,7745,2693,3205
Jagajaga,3560,2137,237,1568,6544,8006,686,3156,10545,2044,1535,4330,168,73630,659,2442,6690,4922,1134,6507,2565,2159
Kennedy,4110,2041,8793,663,4950,6151,761,770,7583,2051,365,3599,4781,95468,908,2813,1950,5087,778,6423,2942,1367
Kingsford Smith,6216,3334,136,2072,6267,8569,503,5622,10303,2597,2640,2747,119,90878,986,2797,9205,5295,1887,6785,4977,2305
Kingston,4337,2924,380,931,7044,5651,1058,2396,12533,1541,1033,5692,577,85655,598,3275,3174,5096,893,9067,2871,1870
Kooyong,4901,2198,267,1781,3462,8040,602,5153,10938,2262,2234,3328,223,78785,716,1891,11407,3224,1988,7193,1780,2502
La Trobe,3865,2217,885,1119,8796,5707,876,2085,8442,2810,1102,7362,199,77108,898,3022,4149,3032,1080,8179,3303,3176
Lalor,4674,3103,692,1331,5797,5133,1075,3459,8806,2703,1510,6362,163,96731,1302,2551,4647,4329,1147,8142,8411,2851
Leichhardt,8242,3311,1208,1563,5616,6867,590,966,10562,1976,576,2454,1905,93006,923,3139,3263,6475,1449,7309,4624,1382
