LGA,AGE5P - 0-4 years,AGE5P - 5-9 years,AGE5P - 10-14 years,AGE5P - 15-19 years,AGE5P - 20-24 years,AGE5P - 25-29 years,AGE5P - 30-34 years,AGE5P - 35-39 years,AGE5P - 40-44 years,AGE5P - 45-49 years,AGE5P - 50-54 years,AGE5P - 55-59 years,AGE5P - 60-64 years,AGE5P - 65-69 years,AGE5P - 70-74 years,AGE5P - 75-79 years,AGE5P - 80-84 years,AGE5P - 85-89 years,AGE5P - 90-94 years,AGE5P - 95-99 years,AGE5P - 100 years and over,HEAP - Postgraduate Degree Level,HEAP - Graduate Diploma and Graduate Certificate Level,HEAP - Bachelor Degree Level,HEAP - Advanced Diploma and Diploma Level,HEAP - Certificate III & IV Level,HEAP - Secondary Education - Years 10 and above,HEAP - Certificate I & II Level,HEAP - Secondary Education - Years 9 and below,HEAP - Supplementary Codes,HEAP - Not stated,HEAP - Not applicable,"INCP - $1,000-$1,249 ($52,000-$64,999)","INCP - $1,250-$1,499 ($65,000-$77,999)","INCP - $1,500-$1,749 ($78,000-$90,999)","INCP - $1,750-$1,999 ($91,000-$103,999)","INCP - $1-$149 ($1-$7,799)","INCP - $150-$299 ($7,800-$15,599)","INCP - $2,000-$2,999 ($104,000-$155,999)","INCP - $3,000 or more ($156,000 or more)","INCP - $300-$399 ($15,600-$20,799)","INCP - $400-$499 ($20,800-$25,999)","INCP - $500-$649 ($26,000-$33,799)","INCP - $650-$799 ($33,800-$41,599)","INCP - $800-$999 ($41,600-$51,999)",INCP - Negative income,INCP - Nil income,INCP - Not applicable,INCP - Not stated,INDP - Accommodation and Food Services,INDP - Administrative and Support Services,"INDP - Agriculture, Forestry and Fishing",INDP - Arts and Recreation Services,INDP - Construction,INDP - Education and Training,"INDP - Electricity, Gas, Water and Waste Services",INDP - Financial and Insurance Services,INDP - Health Care and Social Assistance,INDP - Inadequately described,INDP - Information Media and Telecommunications,INDP - Manufacturing,INDP - Mining,INDP - Not applicable,INDP - Not stated,INDP - Other Services,"INDP - Professional, Scientific and Technical Services",INDP - Public Administration and Safety,"INDP - Rental, Hiring and Real Estate Services",INDP - Retail Trade,"INDP - Transport, Postal and Warehousing",INDP - Wholesale Trade,"LFHRP - Employed, worked full-time","LFHRP - Employed, worked part-time","LFHRP - Employed, away from work","LFHRP - Employed, hours of work not stated","LFHRP - Unemployed, looking for full-time work","LFHRP - Unemployed, looking for part-time work",LFHRP - Not in the labour force,LFHRP - Labour force status not stated,LFHRP - Not applicable,GNGP - National Government,GNGP - State/Territory Government,GNGP - Local Government,GNGP - Private sector,GNGP - Not stated,GNGP - Not applicable,MSTP - Never married,MSTP - Widowed,MSTP - Divorced,MSTP - Separated,MSTP - Married,MSTP - Not applicable,"RLHP - Husband, Wife or Partner in a registered marriage","RLHP - Husband, Wife or Partner in de facto marriage, opposite-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, male same-sex couple","RLHP - Husband, Wife or Partner in de facto marriage, female same-sex couple",RLHP - Lone parent,RLHP - Natural or adopted child under 15,RLHP - Step child under 15,RLHP - Foster child under 15,RLHP - Grandchild under 15,RLHP - Otherwise related child under 15,RLHP - Unrelated child under 15,RLHP - Natural or adopted dependent student,RLHP - Dependent student step child,RLHP - Dependent student foster child,"RLHP - Non-dependent natural, or adopted child",RLHP - Non-dependent step child,RLHP - Non-dependent foster child,RLHP - Brother/sister,RLHP - Father/mother,RLHP - Non-dependent grandchild,RLHP - Grandfather/grandmother,RLHP - Cousin,RLHP - Uncle/aunt,RLHP - Nephew/niece,RLHP - Other related individual (nec),RLHP - Unrelated individual living in family household,RLHP - Group household member,RLHP - Lone person,RLHP - Visitor (from within Australia),RLHP - Other non-classifiable relationship,RLHP - Not applicable,RELP - Buddhism,RELP - Christianity,RELP - Hinduism,RELP - Islam,RELP - Judaism,RELP - Other Religions,RELP - Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation,RELP - Inadequately described,RELP - Not stated,SEXP - Male,SEXP - Female,MDCP - Married in a registered marriage,MDCP - Married in a de facto marriage,MDCP - Not married,MDCP - Not applicable,PreferencePercent,PartyNm
Fenner,11681,10172,8251,7859,10000,11461,13544,12293,10792,8960,7290,6371,5317,4909,3177,2043,1315,762,382,106,13,10555,3744,22183,10805,13405,30576,87,4898,3153,7211,30030,10620,9473,8848,5902,4232,5330,10937,3348,5256,5245,5905,6819,8407,406,9333,30030,6623,4891,1945,226,1179,4833,6685,620,1366,6988,1272,1392,1205,52,65089,705,2221,6628,20525,963,5666,1757,826,48471,19053,2853,1005,1748,1712,26170,5385,30030,20762,6538,187,43289,705,65089,37947,3113,7851,2666,54786,30030,49259,9923,317,475,4926,27030,1221,68,147,104,51,5675,686,13,5297,677,3,1390,754,145,78,135,70,252,126,1922,4970,9822,3598,4518,3198,3993,62411,5452,4775,87,1767,46650,832,10571,67363,69118,48877,11111,36677,39875,60.56,Australian Labor Party
Fisher,7482,9151,9328,9056,7623,7248,7856,8268,9786,10089,9829,9781,9204,9658,7910,5704,4047,2660,1124,303,36,2999,2121,13899,11842,24596,40505,85,8483,3898,11731,25947,9533,6107,5187,3115,5087,8915,4326,2624,12615,12180,11354,10253,10135,508,8150,25947,10083,5287,2358,1345,1223,7996,5557,646,1747,8943,2116,591,3142,976,82871,669,2507,3346,2771,1411,7060,2194,1292,35701,24128,2275,1125,2695,2251,44748,7240,25947,1175,5765,817,54811,669,82871,35403,7236,12754,4366,60367,25947,53646,10651,146,273,6274,22692,1428,55,200,76,54,5202,661,11,6622,768,10,977,874,206,89,75,38,96,99,1756,4548,12712,4957,5172,5731,1774,81298,558,226,87,605,48574,697,12298,70615,75507,53125,11579,41019,40397,62.7,Liberal National Party of Queensland
Flinders,7087,8137,7823,7651,6607,6154,6404,6949,8764,9368,9013,9273,9431,10212,8671,6557,4506,2986,1274,356,30,2689,2559,12625,11851,22397,35442,120,10130,3648,12625,23048,9114,6096,4761,3373,4727,7639,4084,2675,11111,11594,10600,9678,9786,472,7833,23048,10639,3949,2377,1107,1427,8129,4985,573,974,7640,2100,508,4110,227,78003,708,2347,3217,3560,1192,6741,1662,1711,33213,22604,2302,1134,1643,1490,44481,7215,23048,2067,4775,919,50763,708,78003,32631,8081,12245,4209,57140,23048,49613,9950,126,281,5903,20193,1074,54,171,53,31,5139,611,18,6773,822,9,773,713,182,89,39,33,83,66,893,2233,14562,6348,4987,5611,1063,68679,237,182,186,426,53868,691,11884,66242,70938,49084,10904,38791,38523,55.64,Liberal
Flynn,11282,12048,10967,9223,8659,9787,10805,9871,10652,11089,11417,10592,8815,7515,5435,3638,1999,1154,411,114,13,1368,1250,9080,7427,26654,44055,138,11880,3122,16214,34296,8384,6001,5210,4217,5085,9205,8018,4223,10619,9724,8472,8385,8249,943,10459,34296,13992,3990,1961,6958,413,5476,5252,1594,610,5789,1894,266,5461,6410,87874,809,2514,2587,3139,954,5974,4100,1469,44256,19158,2763,1440,4600,1799,35869,11303,34296,602,6647,1650,57906,809,87874,38883,5053,10679,4671,61901,34296,52047,12899,101,183,5566,28485,1872,184,323,133,61,4098,585,25,5950,640,14,982,680,226,98,61,50,119,133,1263,3402,12770,6559,9638,6330,1211,95928,763,523,52,687,38903,585,16829,79916,75567,51524,13696,36678,53588,58.66,Liberal National Party of Queensland
Forde,12646,13042,11493,11354,11144,11467,11864,11386,11628,11056,9918,9368,8116,7759,5362,3596,2207,1384,588,141,17,2242,1489,10982,11348,27666,48162,120,9723,4294,12336,37182,12466,7750,5891,3489,5121,8761,4152,1668,11203,10817,10361,11865,12585,665,10939,37182,10640,4366,2788,542,1291,9874,5675,671,1692,8426,3029,798,6729,551,91041,984,3260,3483,3643,1471,8091,4477,2653,47932,22754,2342,1473,4073,2425,39346,8014,37182,1391,6371,865,64890,984,91041,45831,5651,11865,5169,59846,37182,54346,13701,185,327,8283,31614,2200,168,377,199,136,6340,885,27,9581,1274,9,1772,1461,283,109,138,105,310,188,2627,3898,9748,4651,7353,3254,2311,91070,1118,2065,115,1204,52394,929,14345,81160,84382,53510,15050,47035,49941,58.6,Liberal National Party of Queensland
Forrest,9578,10613,10251,9157,6748,7936,9263,9550,10334,10594,10010,9972,9183,8609,6073,4314,2832,1777,784,168,11,1893,1839,12241,9801,24878,41024,62,8024,3809,13754,30447,9217,6126,5485,4178,4992,7755,6492,3250,10484,9638,9592,9208,9136,626,9480,30447,11663,4912,2279,3208,842,7490,5501,997,890,7286,2063,471,5857,3876,81895,621,2535,2378,2905,1117,7341,2262,1053,37456,23997,3254,1171,3012,1884,37778,8778,30447,831,5968,1064,57390,621,81895,35984,5813,10910,4050,60555,30447,51181,11932,102,204,5797,25888,1555,142,279,102,42,4853,601,16,5714,727,12,812,514,196,79,49,37,79,74,1239,3097,12127,7111,7102,6098,1480,75117,492,686,91,707,53893,721,14579,72883,74887,50831,12584,36028,48330,64.56,Liberal
Fowler,10546,10365,10413,11192,12634,12141,11620,10517,10567,10941,11063,11000,9227,7412,4940,3885,2816,1949,790,192,17,2817,708,13307,9892,14348,50107,180,17744,10565,13247,31328,9587,5601,3782,2266,5918,13932,2474,999,15415,12268,9322,10134,10667,1179,17700,31328,11657,3937,2191,347,762,5743,3334,429,2493,6207,3400,918,7100,76,104266,1654,2734,2732,2394,788,6475,3980,2286,37975,18568,1425,1996,3701,3316,57305,8624,31328,1186,4073,492,52564,1654,104266,44158,7325,11972,5305,64147,31328,57011,4233,101,79,9695,27439,950,70,292,274,142,10634,572,13,16164,838,12,3044,2115,330,145,349,255,699,299,2985,2933,8364,3901,7534,2761,32532,77608,3412,10444,24,3884,21823,479,14035,80943,83294,55720,5711,59440,43360,63.99,Labor
Franklin,5883,6410,6103,5776,4834,5000,5850,5833,6376,6785,6709,7324,6745,6500,4735,3521,2338,1469,677,158,18,3110,1916,10957,7274,14218,26313,60,6559,2584,7666,18399,7307,4841,3963,2579,3592,6025,2937,1235,7783,7888,7234,6709,7196,280,5067,18399,6057,2766,1222,1719,846,3804,4534,815,1183,5955,898,803,2170,142,55462,358,1692,2552,4796,571,4566,1437,800,24581,16532,1833,644,1379,1116,30580,4004,18399,1941,6726,722,33843,358,55462,25324,4897,8370,2612,39464,18399,35029,8389,138,215,4508,15991,1057,82,161,47,25,3917,527,16,4357,506,6,628,396,150,66,34,14,43,49,641,1856,9980,3837,2858,3533,705,48770,251,246,44,384,39653,524,8461,48164,50858,34789,8998,27680,27581,62.21,Australian Labor Party
Fraser,10385,9634,9513,10813,13841,13982,13025,11034,10891,11175,10751,10475,9218,7899,5578,4075,2971,1729,718,93,5,3848,1558,16730,10889,16781,48347,64,18301,7571,14181,29568,10554,6144,4223,2596,6841,14054,2878,1096,14492,11701,9921,11204,11669,1190,17521,29568,12135,5468,3042,355,1026,5260,4251,430,2522,6756,3336,921,7528,21,99019,1568,2924,3227,3029,798,7358,6352,2236,41425,23650,1792,2109,4784,3699,52192,8953,29568,1887,4177,695,60451,1568,99019,48083,7298,10614,5150,67304,29568,59828,5968,176,173,8893,26102,855,21,301,218,81,10032,486,0,14249,713,0,3059,1513,196,53,452,73,478,252,3435,5423,10371,4290,6940,2208,19408,85431,4989,9877,28,4590,29075,521,13977,84160,83749,58639,7487,60626,41198,64.18,Australian Labor Party
Fremantle,9968,9494,8309,8461,9128,11056,12368,11577,11056,10895,9824,8965,7701,6565,4585,3570,2682,1670,695,174,12,5768,2994,20650,11152,20037,36588,44,7574,4064,12101,27764,10259,7920,7036,5512,4996,7690,9061,5172,8781,8121,7931,7463,8892,662,10818,27764,10660,4413,2186,530,1336,7146,7502,864,1668,9598,2872,712,4886,3093,75365,682,2814,5134,4507,1171,6858,3410,2002,45161,24239,2810,1164,3522,2338,33199,8540,27764,2519,8617,894,60664,682,75365,43897,5398,10833,3657,57189,27764,50772,12177,181,348,5938,24720,1071,48,187,63,45,6349,643,8,7334,678,0,1407,697,206,76,124,59,165,95,1656,4906,13139,4067,6620,4956,2522,74764,1571,1423,181,1041,52637,781,13820,72860,75875,50366,13116,43480,41784,56.92,Australian Labor Party
Gellibrand,13133,11582,8741,8309,9930,12835,15455,14924,13681,12217,10269,8899,7055,5760,4108,3297,2669,1852,736,214,20,9953,4055,26738,12422,15898,36754,89,10616,4467,11384,33437,11624,8605,7844,5630,5512,8707,9257,5013,9674,9130,8093,8405,10568,750,13290,33437,10296,5110,2852,252,1989,5779,7001,987,4378,8211,2651,2267,5778,174,84870,1032,2606,7814,5304,1433,7257,5525,2758,52880,24143,2593,1375,3403,2539,37899,7677,33437,3753,6956,1134,68006,1032,84870,47936,5858,9860,4082,64679,33437,58354,12006,701,653,6308,30369,892,15,113,111,72,7431,561,13,8372,654,6,2109,1002,230,107,223,104,325,119,1925,6294,12984,3819,6517,3433,5476,74881,6540,7523,163,2233,54817,835,13451,82058,83670,57639,14078,48628,45382,64.83,Australian Labor Party
Gilmore,7410,8375,8448,8050,6725,6452,6846,6953,8249,8805,10029,11699,12242,12752,10130,7377,4993,3294,1278,300,24,3199,2344,12205,11219,26360,36395,188,13112,4729,16461,24228,8795,5361,4228,3004,5140,10353,3652,1893,15799,14281,12071,10588,9643,595,7435,24228,13369,5420,2177,1155,830,6149,4912,613,872,8259,1477,486,2666,353,94234,679,2091,2566,5371,904,6514,1924,777,30414,22300,2334,1161,2283,1558,56607,9552,24228,2776,5794,1543,45416,679,94234,34693,9531,13518,4559,63900,24228,55410,10206,155,309,6555,20418,1209,276,371,94,47,4533,576,37,6965,789,12,834,835,301,123,39,53,93,85,1190,2923,16169,7120,6418,6288,1321,88246,302,241,118,575,44754,579,14298,74171,76264,54777,11303,42110,42243,52.61,Labor
Gippsland,8142,8753,8397,8210,7628,7751,8079,7598,8191,9096,9961,10770,10647,10529,7755,5657,3754,2369,1011,242,34,1818,2043,9840,9417,24890,36803,155,13956,3272,17087,25289,8456,5218,4023,2807,5088,9797,3770,2255,13327,12595,10614,9538,9169,633,8097,25289,13895,4161,1571,4513,642,5220,4779,2114,792,8231,1571,456,4061,1066,86294,750,2136,1990,4267,649,6351,1920,1020,32800,21390,2850,1240,3020,1663,46236,10072,25289,1985,6811,1165,47569,750,86294,36721,8157,11820,4606,57966,25289,49127,10713,106,198,6033,21267,1321,126,289,95,67,4773,564,16,6061,676,4,842,461,203,98,38,45,88,73,878,3066,16554,6971,7715,6080,1029,74153,480,405,50,556,51338,695,15873,71484,73098,48670,11490,40500,43916,66.67,The Nationals
Goldstein,7881,9794,10088,9195,8092,7166,7855,8558,10967,12373,10990,9943,8395,7760,5857,4260,3318,2963,1683,416,60,11177,4671,31736,12561,9635,31034,32,6261,3532,9222,27761,8960,6993,6848,4971,5802,6367,9851,12057,6920,7552,7144,6974,8090,478,11869,27761,8991,3854,2358,205,1839,4315,7193,645,4736,8398,2591,2006,3658,229,76432,625,2059,10362,3039,1835,6629,1990,2644,42904,25234,2060,990,1732,1998,38737,6205,27761,2592,5246,742,61978,625,76432,37117,7040,9104,2731,63863,27761,57218,7914,306,273,4814,25398,673,12,67,37,19,9698,607,3,6559,449,4,1038,614,118,71,76,34,143,65,985,3624,13406,3449,4771,5189,2178,66323,2568,720,9979,636,51993,642,12601,70624,77001,56850,8857,42302,39615,57.79,Liberal
Gorton,14489,14392,12001,10801,10758,12284,14508,14557,13524,11218,9359,8147,7499,6203,3745,2301,1384,772,285,84,8,3684,1683,15260,11402,21060,44005,140,12065,4985,13169,40900,12051,7906,5685,3595,5856,9612,4136,1382,9966,8835,9154,10406,12029,942,14414,40900,11529,4461,2752,368,1148,7005,4892,893,2816,7947,2751,1147,6736,184,94798,1242,2698,3509,3774,1037,7884,7623,2630,46971,22345,2397,1774,3701,2657,39973,7577,40900,1918,5471,853,64013,1242,94798,42872,4367,9683,4828,65688,40900,60232,8959,181,215,7827,36295,1338,55,362,242,95,8791,797,10,10878,1082,3,1972,1459,230,104,224,104,430,200,1728,2651,8292,3555,7281,2863,6759,93641,4774,7635,63,3825,35701,753,15110,83289,85016,59256,10359,46618,52050,65.36,Australian Labor Party
Grayndler,9089,8035,6187,5328,10131,14844,15337,13733,12915,11185,9728,8091,7044,5900,4199,3023,2355,1533,674,176,12,15067,4137,34600,11411,10018,27414,34,6627,4276,12620,23311,10781,8840,8332,6445,3574,6010,12269,10349,7325,7676,6992,7342,9129,475,8694,23311,11976,5499,2950,137,2489,4133,8601,481,6356,9053,2370,4598,2854,96,67063,837,2525,12022,5219,1531,5897,2570,2225,56491,22348,2405,1200,2166,1816,29842,9936,23311,4956,8598,821,67233,837,67063,58893,4657,10728,3052,48877,23311,42621,14256,1528,1458,4931,20709,675,46,89,49,20,4422,340,3,5397,346,4,1856,664,172,91,218,81,219,128,2667,12569,15789,3884,8636,5642,4863,59544,3390,1731,652,693,62172,975,15487,72830,76681,42162,17702,49892,39754,66.3,Labor
Greenway,13734,13570,11263,10827,10297,11920,15037,15529,13466,11193,9988,8783,7614,6283,4114,2835,1905,1177,437,92,9,9687,2011,23962,12788,17601,40648,97,9351,4950,10401,38566,12963,9244,7762,5570,5521,7811,8057,2656,8798,8353,8158,9362,11758,637,15860,38566,8998,4375,2583,323,899,6618,5975,845,5232,10099,3079,1900,6196,107,88032,1187,2961,6021,5247,1107,8484,5072,3714,55927,22217,2270,1615,2931,2478,38295,5762,38566,2316,8162,877,69487,1187,88032,39691,5120,8499,3633,74565,38566,68722,6396,160,200,6433,35268,1170,131,251,140,81,9414,724,14,11106,1036,10,1986,1692,231,114,247,92,466,173,2032,3244,7625,2881,4984,3042,3529,89727,20641,8306,111,8454,26583,527,12191,85420,84648,68029,7442,46650,47944,52.8,Labor
Grey,9799,10530,10361,9363,8460,9233,9383,8804,9970,11587,12371,12851,12027,11099,8852,6055,4027,2651,1134,279,35,1276,1420,9211,8524,26877,52266,140,16136,3774,18659,30739,9971,6423,5566,3811,5421,12512,4656,2071,16357,14598,11550,10706,10384,673,8639,30739,14978,4608,2055,9502,506,4842,5715,799,820,8550,1437,348,5219,3558,99834,794,2460,1627,3840,607,6979,3000,1758,40498,24116,3135,1498,3788,1852,52851,10605,30739,873,6619,1244,59591,794,99834,44351,9401,12663,4914,66990,30739,56597,13713,67,156,6701,25617,1556,233,398,202,60,4807,597,30,6738,706,15,971,527,311,109,134,71,170,119,964,2975,20304,8824,7405,7749,909,90313,382,355,19,839,58002,646,17528,85898,83145,56083,14404,46450,52146,63.32,Liberal
Griffith,8366,7948,7625,8017,13942,16506,15499,12308,11479,10375,8800,7673,6147,4888,3331,2480,1915,1501,736,169,18,11059,4395,32554,11645,14094,33151,48,4617,3046,11177,23927,11430,8965,8407,6088,4303,6589,10297,7790,7306,8105,7959,8021,9813,487,9691,23927,10541,6329,3036,254,1746,5792,8758,814,3793,11354,2205,1556,3346,1392,66875,675,2569,10000,5797,2070,6203,3135,2045,54476,24899,2387,1072,2713,2479,29087,8687,23927,4163,10369,894,66747,675,66875,58283,4227,10240,3314,49721,23927,43432,14131,689,584,4728,21153,801,33,76,54,33,5665,515,9,4599,383,0,2198,490,122,64,179,75,190,88,2839,13210,15756,4669,7077,5929,3334,72147,2926,2044,243,1358,52587,1005,14093,73778,75934,43115,15707,51067,39819,52.86,Australian Labor Party
Groom,9702,10596,10181,10071,9698,9490,9319,8555,9251,9678,9174,9352,8290,7793,6166,4596,3444,2235,1004,244,25,3655,2040,14096,9511,22292,39834,109,10902,3242,12695,30474,10401,6674,5812,3631,4986,8041,4502,2133,10610,10699,10138,10476,10580,559,8192,30474,10953,4080,1652,3241,637,5682,7474,737,1819,9988,1737,476,4613,1140,82343,620,2768,3054,4521,990,6430,2801,2048,41798,21294,2382,1053,2917,1930,38573,8448,30474,1928,8740,1300,53927,620,82343,38005,7057,10230,3975,59118,30474,52122,9357,126,156,6212,26100,1506,208,272,147,62,5265,550,30,6533,704,7,1208,641,198,80,104,53,117,95,1319,3959,14031,5026,6334,6332,1239,99970,1210,1584,53,790,30551,582,12875,72145,76717,51727,10032,41113,45991,70.48,Liberal National Party of Queensland
Hasluck,8913,9259,8915,9290,9031,9282,10128,9552,9946,10338,9892,9096,8125,7665,5365,3870,2635,1533,613,169,8,3352,2016,13830,10606,21627,40391,65,7439,4116,13091,27090,10317,7139,6106,4213,5081,7758,6551,3270,9051,8509,8052,7843,9003,687,11585,27090,11352,3691,2147,606,1004,6529,5420,655,1278,7301,2654,614,4208,3475,77803,716,3100,3588,4476,1013,6395,4701,2245,40480,21605,2555,1181,3691,2128,37612,7275,27090,1442,6687,1059,55911,716,77803,39065,5314,10286,4021,57844,27090,50950,10098,144,250,5984,23455,1201,110,337,125,66,6167,685,24,8060,914,7,1471,862,246,85,150,64,218,139,1725,3318,10971,4043,5359,6398,2300,71734,2358,3531,107,1387,47302,808,14103,72878,70745,50423,11022,41082,41096,55.39,Liberal
Herbert,11334,11187,10334,11405,13877,12565,11941,10345,10703,10606,9872,9350,7732,6799,4588,3287,2097,1348,503,133,12,3269,1901,14311,9911,26255,45684,123,8830,3050,13814,32852,11701,8679,6948,4176,5443,9735,5267,2134,9715,9869,9589,9990,11206,553,9693,32852,12448,5674,2322,396,957,6025,6967,1112,1069,10859,1687,912,3297,1718,86864,736,2800,3121,10014,1158,7248,3457,1613,47136,21914,2885,1203,4789,2769,36424,10029,32852,7542,9705,1441,53713,736,86864,53018,5188,11942,4852,52146,32852,45512,14936,223,359,7758,27469,1924,141,448,211,78,5504,715,14,6647,816,7,1648,882,301,128,134,85,247,183,1820,6220,13922,5421,7635,8601,1339,93558,761,860,67,769,46531,923,15193,79641,80367,44939,16094,47032,51934,58.36,Liberal National Party of Queensland
Higgins,7772,8046,7493,7923,13849,17061,15119,11473,10522,10496,9417,8544,7444,6836,5229,4339,3086,2242,1138,285,35,15601,5242,41496,12299,8677,31012,33,5717,3600,11316,23260,11355,9033,8531,6201,5259,6854,11498,12794,7077,7345,7098,7473,9312,578,13472,23260,11165,5423,2935,288,2147,3792,7633,788,6224,10290,2562,2529,3583,249,75173,826,2189,13252,3464,2226,7871,2078,2754,54015,25713,2228,1153,2417,2549,38317,8602,23260,3531,6163,673,71960,826,75173,58478,5800,8957,2710,59131,23260,52234,12014,1037,339,4297,21267,472,4,45,39,25,7849,420,0,5446,290,0,2100,543,120,74,203,66,175,87,1857,11610,19635,4231,7011,4754,4030,67177,5497,1507,5883,805,57893,783,14762,75831,82474,51897,13727,54830,37894,53.88,Liberal
Hindmarsh,8509,8348,7936,9193,9960,10595,10932,10044,10275,11413,11376,11240,9669,9059,6749,5562,4491,3315,1758,338,19,4795,2323,18234,11880,22304,47003,102,12754,4924,11475,24829,11772,7732,6407,4273,5958,10821,5366,2495,13555,13381,11082,10840,12158,714,10296,24829,9081,4985,2641,426,1426,5789,6113,1089,2324,10614,1732,1013,6118,470,86379,697,3034,4310,5909,992,8041,3981,2555,44242,26268,2774,1129,3358,2423,49209,6576,24829,3258,7905,752,61819,697,86379,47138,9328,13234,4238,61925,24829,56144,11019,286,421,7497,22129,953,48,180,104,29,7340,643,14,9494,807,4,1846,753,276,121,157,48,191,88,1369,4874,19775,4778,4358,4831,3728,87260,2085,2828,81,1903,50170,682,12062,78373,82293,55674,12123,55454,37462,56.54,Australian Labor Party
Hinkler,7286,8798,8726,8217,6663,6702,6812,6966,8110,8636,9344,10026,10467,11525,9598,6940,4439,2545,1039,238,28,1569,1415,9006,8236,23899,41978,166,13935,3556,14551,24811,7766,4305,3683,2094,4723,11089,2366,1351,17228,14303,11336,9675,8657,561,7621,24811,11567,4081,1654,2584,449,4089,4576,557,719,8775,1409,415,2592,871,93783,657,1975,1716,2613,870,6108,1727,893,28159,18349,1827,1007,4102,2089,53983,8804,24811,631,6144,1029,40897,657,93783,32976,8625,12986,5120,58616,24811,51488,9992,107,168,6931,20881,1549,116,283,93,79,3976,607,14,6206,740,16,1001,986,247,114,65,60,111,93,1394,4036,14731,5826,6402,4783,1228,87227,480,431,59,518,39344,529,13304,69457,73669,50832,10925,41350,40023,64.5,Liberal National Party of Queensland
Holt,14789,13926,11861,11298,11324,11896,14761,13734,12418,11180,9661,8399,6502,5143,3704,2413,1540,941,378,115,18,4113,1563,13582,12725,22957,42788,166,11064,5187,11222,40455,12584,7726,5261,3166,5754,8561,3420,1122,9005,8509,9428,11713,13399,934,14788,40455,9835,3962,2816,897,1019,7847,4075,902,2309,9565,3349,1022,10072,144,89494,1360,3088,3279,2778,941,8611,4699,3588,49082,23185,2280,1641,3204,2666,36051,7078,40455,1655,4597,818,68022,1360,89494,40611,4406,8858,3997,67408,40455,61673,9329,122,206,6693,36074,1644,50,251,191,80,9044,892,18,10208,1207,13,2051,1515,250,127,257,120,458,216,2012,2346,6973,3455,6626,1839,7809,77021,8116,11927,134,5251,41550,765,13112,82692,83089,60855,10446,44209,50184,58.7,Australian Labor Party
Hotham,9906,9640,8679,11058,16929,14174,13376,11632,11490,11509,10053,9079,8250,7832,6617,5631,4447,3032,1335,307,34,11219,3074,29027,13522,14185,44609,73,13144,6011,11892,28211,11295,7521,6264,4320,7053,11241,6517,3269,12876,11586,10430,10232,11303,1014,21414,28211,10326,5136,3051,284,1219,4830,6900,717,3815,9015,2958,1715,6716,74,98409,1137,2861,7123,2888,1217,8316,3183,3290,46261,26626,2097,1567,2987,3747,55835,7531,28211,3439,5212,666,66149,1137,98409,52244,8081,8676,3198,74420,28211,66351,6455,220,206,6449,25821,678,18,163,86,58,9102,514,3,10738,639,0,2539,1470,223,120,339,100,367,187,3655,10955,11520,3682,5520,6491,13150,78531,7798,5376,3255,3638,48683,727,13709,86750,88135,65732,7487,58977,42564,55.91,Australian Labor Party
Hughes,9870,10392,9663,9320,8794,8244,9112,9939,10886,10327,9847,9259,7912,6919,5286,3352,2345,1743,838,225,22,5799,2307,19004,13075,20999,34299,61,6905,4894,7020,29925,11051,8166,7661,5709,5241,6353,8774,4428,7363,7882,7791,8044,9560,400,9591,29925,6358,3955,2289,121,1294,6966,7257,774,4342,8523,2220,1401,4293,121,69216,676,3015,6374,6214,1253,6749,4739,2493,48464,23211,2421,977,1456,1438,32616,3788,29925,3342,9040,1048,60968,676,69216,34101,5280,7904,2857,64226,29925,60169,7160,162,196,5052,27622,911,68,118,65,30,8250,638,12,10405,929,9,1006,970,180,90,77,44,160,74,983,1559,7667,2908,2836,3927,1982,94971,2354,2278,133,554,33482,515,8015,71073,73218,59575,8111,38108,38488,59.85,Liberal
Hume,10093,10839,10530,9926,8639,8738,9304,9202,10565,10509,10250,9633,8855,8201,5931,4033,2698,1688,790,202,21,3055,1725,11628,11139,26135,37956,125,10787,4185,12436,31465,11048,7491,6480,4761,4821,7435,6135,2469,9676,9385,8984,9551,10372,508,9311,31465,10748,4159,2165,2795,942,8882,6455,944,1733,8178,2475,686,5137,830,77950,845,2971,3405,5353,1236,7094,4300,2098,46679,22030,2583,1398,1913,1463,36026,7079,31465,1762,8150,1355,60577,845,77950,36624,6171,9875,3916,62591,31465,57081,9712,162,257,5918,27499,1486,277,256,93,51,6208,729,29,9435,1174,24,948,1088,264,112,45,62,136,86,1257,1914,10174,4240,5374,4545,1057,103584,473,932,103,487,32169,461,11372,74775,75866,56453,10764,39600,43826,62.99,Liberal
