Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"2109623",33,36,44,27,24,19,32,36,30,36,35,42,34,47,12,23,13,26,0,0,0,555,
"2109624",23,26,21,33,29,43,30,29,28,35,25,27,27,19,20,24,13,6,0,0,0,473,
"2109625",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,
"2109626",21,37,40,32,32,33,36,18,33,32,31,22,36,40,31,24,14,11,0,0,0,527,
"2109627",18,23,11,30,33,28,20,13,22,30,29,35,27,25,29,24,7,10,0,0,0,427,
"2109628",41,38,39,39,31,32,31,34,36,27,33,48,26,23,14,12,4,5,0,0,0,512,
"2109629",18,14,7,4,24,24,13,7,15,16,28,30,20,30,23,15,6,5,0,0,0,310,
"2109630",16,24,14,16,22,27,17,18,20,25,25,52,42,62,35,21,4,8,4,0,0,444,
"2109631",5,11,4,19,11,14,15,17,17,21,18,19,27,11,11,8,18,14,0,0,0,251,
"2109632",21,23,12,20,21,23,9,18,21,11,23,24,15,17,14,6,7,6,0,0,0,296,
"2109633",36,39,29,17,37,36,37,32,21,23,35,30,27,23,21,13,21,5,0,0,0,487,
"2109634",44,37,29,30,24,47,36,30,32,32,23,38,28,29,29,20,12,18,0,0,0,551,
"2109636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2109637",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"2109638",11,9,13,25,15,10,17,8,10,21,27,26,20,22,18,14,3,3,0,0,0,267,
"2109701",16,21,19,10,19,18,18,21,20,17,18,37,33,19,15,9,3,3,0,0,0,305,
"2109702",23,18,13,19,26,32,22,22,22,16,20,20,19,21,17,3,6,3,4,0,0,333,
"2109703",16,17,19,16,27,24,17,10,11,11,22,20,9,10,4,0,3,5,6,0,0,240,
"2109704",15,18,19,15,20,28,23,15,17,18,16,8,10,18,10,12,12,4,3,0,0,277,
"2109705",11,12,6,12,11,14,19,15,8,13,15,15,6,10,15,6,5,3,0,0,0,204,
"2109706",16,15,16,30,13,13,23,12,13,27,24,23,17,41,11,21,11,4,0,0,0,327,
"2109707",13,12,10,28,16,11,11,18,7,24,14,19,7,14,18,8,4,0,0,0,0,236,
"2109708",25,36,17,32,43,43,19,20,29,25,26,19,11,25,10,13,11,9,0,0,0,414,
"2109709",25,34,29,22,16,24,35,18,12,11,15,12,9,10,11,12,11,3,0,0,0,320,
"2109710",20,15,21,16,13,19,29,22,19,17,25,25,20,9,16,4,4,0,0,0,0,301,
"2109711",34,39,34,41,40,45,27,24,34,31,27,23,32,17,23,12,4,0,0,3,0,488,
"2109712",19,17,17,20,8,12,10,12,16,19,18,15,15,15,10,11,5,0,0,0,0,230,
"2109713",35,47,34,21,23,16,26,17,22,12,21,8,5,0,3,0,0,4,0,0,0,297,
"2109714",26,13,14,22,30,16,23,13,26,28,27,20,15,23,14,19,3,6,5,0,0,340,
"2109715",27,7,17,18,24,41,23,20,29,23,29,24,25,20,21,10,9,11,4,0,0,382,
"2109716",18,23,17,14,18,21,19,27,8,11,30,18,19,12,9,19,14,17,7,0,0,321,
"2109718",3,5,3,6,4,9,8,4,6,3,4,5,4,3,3,4,0,0,0,0,0,88,
"2109719",22,14,17,7,17,16,21,14,16,11,16,17,21,13,11,15,4,3,0,0,0,258,
"2109720",32,32,37,24,28,40,35,35,28,30,21,39,23,16,5,8,11,0,0,0,0,443,
"2109721",94,58,51,48,66,82,112,69,51,44,44,53,28,25,12,16,8,4,0,0,0,852,
"2109722",23,19,22,20,11,32,36,24,19,27,23,23,21,22,20,28,11,0,0,0,0,378,
"2109723",45,49,49,43,30,22,36,44,54,37,35,33,35,21,12,17,7,3,0,0,0,575,
"2109724",21,17,21,27,30,20,13,20,19,30,24,19,15,13,8,13,4,0,0,0,0,322,
"2109725",23,17,19,10,23,24,22,13,17,23,16,16,16,17,15,8,3,0,3,0,0,287,
"2109726",31,28,26,17,21,26,31,23,29,30,32,39,33,25,17,9,8,0,9,0,0,435,
"2109727",21,11,19,12,17,24,12,15,15,13,17,20,18,10,9,3,9,6,0,0,0,252,
"2109728",23,10,5,12,30,29,19,26,5,19,22,29,28,20,17,9,8,5,4,0,0,323,
"2109730",6,13,11,15,17,10,12,10,15,24,23,28,18,26,7,12,3,0,0,0,0,257,
"2109731",14,13,13,14,27,51,32,24,7,26,28,27,28,24,9,9,0,3,5,0,0,360,
"2109732",9,10,38,36,23,5,12,11,32,35,35,28,18,17,5,7,0,0,0,0,0,315,
"2109733",17,16,20,27,23,21,30,16,16,31,38,29,12,17,7,4,9,4,0,0,0,353,
"2109734",10,4,14,38,34,21,15,13,19,31,21,23,19,12,14,11,7,8,3,0,0,321,
"2109735",20,30,34,49,22,20,18,23,32,44,51,39,35,41,34,21,10,9,5,0,0,540,
"2109736",30,25,28,19,27,33,29,20,27,20,15,30,17,39,26,10,9,5,4,0,0,387,
"2109737",16,15,6,9,23,23,22,12,7,10,20,20,35,46,42,57,49,21,7,0,0,436,
"2109738",17,14,14,11,15,15,22,12,13,11,17,25,29,28,15,10,7,0,0,0,0,263,
"2109740",27,40,20,12,35,50,38,27,22,15,23,23,29,28,16,7,10,3,0,0,0,425,
"2109742",24,32,28,22,20,31,27,25,22,30,35,35,19,36,28,48,48,37,14,4,0,568,
"2109745",24,32,28,32,22,35,34,22,30,25,30,32,37,41,17,22,11,9,4,0,0,487,
"2109746",19,19,16,11,27,25,34,22,10,21,15,21,23,18,11,7,6,3,0,0,0,309,
"2109747",19,22,14,16,28,29,21,23,22,20,14,7,14,19,12,7,18,18,3,6,0,346,
"2109748",17,29,33,35,20,21,24,19,21,24,36,38,29,36,27,17,4,6,4,0,0,455,
"2109749",31,40,27,20,64,56,41,28,25,30,40,30,24,12,7,7,5,0,0,0,0,493,
"2109750",30,31,49,25,15,36,28,34,36,21,25,22,43,38,30,17,12,4,0,0,0,493,
"2109751",26,28,29,25,9,19,29,27,23,14,26,28,26,23,11,12,8,0,0,0,0,354,
"2109752",12,27,25,30,24,9,24,28,10,24,34,47,27,27,4,3,4,0,0,0,0,359,
"2109753",12,17,18,21,9,23,7,20,19,22,16,10,25,18,12,7,4,3,3,0,0,276,
"2109754",4,6,4,9,5,9,13,10,23,8,11,8,19,20,18,36,57,69,31,11,0,367,
"2109755",11,16,16,25,11,3,12,13,16,27,19,22,17,11,19,7,3,0,0,0,0,261,
"2109756",15,14,21,22,16,13,16,12,21,29,52,31,37,57,45,30,21,14,3,0,0,486,
"2109758",23,30,20,19,41,26,30,31,18,21,29,35,39,25,22,11,9,7,0,0,0,436,
"2109759",44,27,28,23,48,38,39,27,26,38,34,40,42,24,27,11,23,12,11,0,0,550,
"2109760",16,20,9,23,30,24,26,13,9,8,18,12,17,15,6,6,4,0,0,0,0,262,
"2109761",17,28,23,29,31,44,20,27,26,22,38,43,30,17,15,8,5,0,6,0,0,433,
"2109762",55,74,79,51,38,21,44,66,66,57,54,34,30,21,13,7,4,0,0,0,0,706,
"2109763",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,
"2109764",28,23,21,18,31,32,17,22,16,29,20,28,28,32,18,24,7,5,0,0,0,404,
"2109765",65,92,67,50,43,41,68,84,71,44,39,33,34,24,14,9,0,0,0,0,0,787,
"2109766",16,29,41,44,39,12,19,28,41,45,43,39,54,32,18,13,3,0,3,0,0,520,
"2109767",32,36,13,11,16,25,20,20,3,4,12,8,7,10,9,11,31,32,17,3,0,325,
"2109768",22,21,17,21,26,18,28,16,10,18,17,20,20,14,16,11,5,3,0,0,0,290,
"2109769",84,83,69,40,38,56,84,83,64,57,34,55,35,28,9,3,9,5,0,0,0,853,
"2109770",41,46,41,26,23,23,43,43,41,42,25,40,19,21,13,4,4,0,0,0,0,486,
"2109771",27,22,22,22,43,47,22,16,22,22,27,22,12,15,19,14,14,12,11,3,3,412,
"2109772",107,90,71,56,60,95,97,70,58,52,55,39,29,17,32,17,7,4,4,0,0,958,
"2109773",28,39,28,21,13,27,37,39,48,30,20,23,30,23,24,3,4,0,0,0,0,440,
"2109774",17,31,33,30,6,8,14,29,26,31,33,28,29,16,7,3,3,0,0,0,0,333,
"2109775",25,25,44,28,22,44,32,28,33,29,31,34,29,23,11,5,9,0,0,0,0,448,
"2109801",24,27,28,19,32,17,24,22,26,26,44,36,22,9,9,4,4,0,0,0,0,384,
"2109802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2109803",19,37,38,33,23,19,30,38,25,33,38,50,50,30,13,10,0,0,0,0,0,505,
"2109804",18,30,41,22,11,10,13,24,27,23,28,25,26,17,20,9,0,0,0,0,0,344,
"2109805",0,3,0,0,0,0,3,3,7,4,0,0,0,4,0,0,0,0,0,0,0,26,
"2109806",21,27,27,33,24,13,15,26,33,25,45,35,36,17,19,12,8,0,0,0,0,417,
"2109807",29,28,29,31,40,35,35,21,28,37,46,36,43,35,11,6,12,4,0,3,0,510,
"2109808",20,12,11,17,22,22,20,13,14,30,24,27,18,31,16,9,7,3,0,0,0,309,
"2109809",19,13,11,27,27,15,10,15,21,18,15,21,13,6,3,9,11,16,3,0,0,281,
"2109810",7,8,14,11,21,12,4,12,8,19,11,18,18,12,5,3,0,0,0,0,0,185,
"2109811",14,25,20,12,26,15,23,9,25,21,16,14,15,8,13,10,0,0,0,0,0,264,
"2109812",5,27,14,10,5,4,7,6,10,16,19,13,18,14,0,7,4,0,0,0,0,193,
"2109813",37,40,35,37,34,34,31,63,41,53,54,62,39,42,11,20,0,6,0,0,0,638,
"2109814",57,41,32,28,18,60,54,21,16,17,41,36,31,30,21,6,0,0,0,0,0,498,
"2109901",0,0,0,4,0,0,0,0,0,5,6,3,4,5,3,0,0,0,0,0,0,24,
"2110001",8,9,10,12,4,9,8,16,28,33,43,40,56,75,38,29,10,0,0,0,0,442,
"2110002",3,3,21,12,7,4,0,7,5,19,20,10,19,20,9,5,6,0,0,0,0,173,
"2110003",29,31,47,33,20,17,26,21,44,49,42,45,28,37,17,18,9,3,0,0,0,517,
"2110004",35,61,70,43,18,30,41,44,59,64,48,38,50,38,10,9,0,4,0,0,0,669,
"2110005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2110006",20,12,15,27,12,9,25,13,14,30,34,29,31,23,16,3,7,9,0,0,0,327,
"2110007",0,0,3,0,0,0,0,4,3,0,0,0,4,5,0,0,0,0,0,0,0,23,
"2110008",26,31,42,36,22,15,33,20,34,30,36,47,39,24,12,5,11,0,0,0,0,474,
"2110010",17,27,27,25,8,7,29,18,21,23,40,47,48,43,31,15,12,0,0,0,0,433,
"2110011",14,17,20,19,10,8,15,18,15,14,15,33,31,37,27,10,0,0,0,0,0,320,
"2110013",0,3,10,3,38,21,13,6,4,4,6,5,5,9,0,0,0,0,0,0,0,120,
"2110014",6,9,17,6,0,3,4,12,16,20,27,45,72,74,77,46,19,6,5,5,0,470,
"2110015",14,5,15,5,6,10,7,5,17,23,23,29,37,50,28,35,16,6,7,0,0,338,
"2110101",14,20,13,22,16,18,13,16,8,24,15,29,28,20,9,21,11,3,0,0,0,294,
"2110102",26,13,26,15,16,12,25,24,7,18,18,26,39,37,25,28,9,3,0,5,0,364,
"2110103",74,83,58,54,33,58,67,57,63,33,41,50,52,57,24,21,12,5,0,0,0,843,
"2110104",18,12,19,41,13,8,17,12,18,29,28,41,20,17,10,3,0,5,0,0,0,331,
"2110105",19,20,15,17,6,9,22,19,12,18,18,26,18,12,5,3,6,0,0,0,0,259,
"2110107",21,20,26,25,30,19,12,22,20,36,41,47,49,29,12,7,7,4,0,0,0,426,
"2110108",12,9,17,14,10,10,9,11,16,26,24,35,30,29,22,11,9,0,3,0,0,317,
"2110109",22,30,24,32,24,19,35,22,26,30,29,29,31,21,22,19,10,0,0,0,0,426,
"2110110",25,32,26,16,19,9,24,19,21,23,28,25,25,31,25,31,15,9,6,0,0,415,
"2110111",19,32,26,22,26,11,23,19,31,19,24,20,27,21,24,13,10,17,17,4,0,392,
"2110112",15,18,19,14,22,15,18,22,6,7,21,25,43,29,22,16,11,11,6,0,0,335,
"2110113",28,26,23,20,38,17,20,25,22,28,24,17,19,28,10,16,10,4,0,0,0,375,
"2110114",7,7,13,19,8,19,8,12,16,16,33,18,33,23,23,17,3,3,0,0,0,277,
"2110115",38,44,58,45,30,27,39,29,32,44,38,47,34,37,23,21,9,9,0,0,0,593,
"2110116",24,24,31,27,29,38,17,20,19,21,33,30,48,40,31,20,13,8,0,0,0,460,
"2110117",17,25,16,18,33,25,23,20,31,30,20,30,21,29,25,17,10,4,0,0,0,403,
"2110118",17,34,46,38,16,16,9,30,36,26,52,47,31,33,18,10,5,5,0,0,0,475,
"2110119",31,29,22,40,29,17,25,17,22,27,35,30,23,31,20,7,9,6,0,0,0,424,
"2110120",9,14,19,10,3,5,13,15,11,10,12,29,17,18,13,5,0,0,0,0,0,203,
"2110121",34,29,15,34,31,32,36,21,21,26,25,20,24,25,18,14,7,5,3,0,0,425,
"2110122",43,36,36,39,26,30,44,27,34,27,45,43,37,29,34,24,9,3,0,0,0,576,
"2110123",29,32,19,26,15,23,20,35,24,25,29,24,27,23,30,20,28,31,15,18,0,474,
"2110124",26,22,28,20,25,24,22,26,28,9,17,12,23,19,15,11,20,9,0,0,0,362,
"2110125",24,26,33,43,31,25,24,17,32,26,31,26,21,44,20,25,23,11,3,0,0,488,
"2110126",22,34,24,10,16,31,23,31,24,25,32,43,39,47,35,31,40,15,3,6,0,535,
"2110127",21,28,20,14,7,8,15,22,25,17,28,30,26,19,11,16,0,0,0,0,0,318,
"2110128",15,25,27,22,25,18,9,22,20,17,19,37,29,14,13,10,3,0,0,0,0,318,
"2110129",12,22,31,15,11,22,17,23,21,15,20,26,37,32,13,8,0,3,4,0,0,343,
"2110130",26,27,26,39,36,17,24,19,45,30,37,68,68,62,28,9,12,6,5,0,0,590,
"2110131",4,15,11,10,7,0,12,17,15,8,20,21,30,10,12,4,6,0,0,0,0,197,
"2110132",26,19,19,14,12,20,22,21,13,19,24,25,26,31,23,17,9,12,0,0,0,361,
"2110133",21,18,27,20,10,4,21,9,20,25,29,34,12,10,13,13,3,0,0,0,5,302,
"2110134",27,25,32,13,12,8,10,32,27,26,22,35,23,12,5,3,0,4,0,0,0,319,
"2110135",21,17,16,19,17,21,26,11,13,22,33,23,30,25,16,8,3,0,0,0,0,328,
"2110136",33,20,20,19,17,19,28,23,11,16,13,33,26,21,12,11,4,0,0,0,0,327,
"2110201",16,24,13,16,16,11,21,26,17,13,34,21,32,16,3,0,9,6,0,0,0,291,
"2110202",15,34,43,22,21,24,21,27,35,41,36,33,40,39,24,21,4,0,4,0,0,496,
"2110203",0,0,0,4,87,165,142,150,108,62,35,34,19,9,0,0,0,0,0,0,0,823,
"2110204",17,21,18,30,19,15,15,16,21,15,22,18,22,24,13,3,0,3,0,0,0,300,
"2110205",11,19,9,15,9,23,20,17,9,26,27,27,29,9,15,8,3,6,0,0,0,296,
"2110206",27,38,30,26,16,18,27,34,32,24,43,39,36,40,20,17,4,0,0,0,0,472,
"2110207",19,24,25,22,18,7,13,17,27,31,19,20,15,21,14,12,4,0,0,0,0,307,
"2110208",27,19,20,15,17,12,30,22,15,23,24,28,20,6,11,8,0,0,0,0,0,298,
"2110209",42,49,31,29,26,16,37,31,33,31,17,28,25,31,20,9,3,0,0,0,0,466,
"2110210",18,14,20,24,24,19,17,15,23,31,30,28,44,20,16,3,3,5,0,0,0,355,
"2110211",4,9,7,12,18,17,17,18,15,14,22,25,31,25,16,9,8,6,0,0,0,279,
"2110212",35,31,19,13,18,39,32,23,11,15,15,26,26,12,16,13,4,0,0,0,0,350,
"2110301",29,35,32,38,26,14,25,31,44,38,41,46,37,30,20,17,10,10,0,0,0,529,
"2110302",3,18,30,21,3,0,5,15,19,21,15,10,9,7,3,3,0,0,0,0,0,169,
"2110303",37,48,50,61,16,18,24,43,66,59,55,48,34,28,15,0,0,0,0,0,0,610,
"2110304",31,29,22,20,23,16,24,17,21,16,24,42,22,25,23,12,10,0,0,0,0,358,
"2110305",27,55,45,38,19,25,21,38,32,51,41,27,17,22,8,6,3,4,0,0,0,482,
"2110306",9,5,16,23,7,8,14,10,19,15,17,35,22,21,14,18,5,6,3,0,0,260,
"2110307",14,30,23,27,24,19,20,34,22,28,22,26,36,30,18,24,12,8,0,0,0,418,
"2110308",26,30,25,24,18,15,29,28,23,34,35,26,30,19,17,17,9,9,4,0,0,409,
"2110309",86,65,51,45,43,92,108,75,54,40,48,40,43,30,15,9,0,3,0,0,0,862,
"2110310",7,4,13,5,3,12,6,12,14,18,5,12,15,20,14,3,5,3,3,0,0,163,
"2110311",58,53,53,43,38,48,61,44,42,43,43,42,34,40,25,22,18,18,15,6,0,752,
"2110312",19,24,30,26,19,10,11,14,31,25,34,16,34,21,11,0,0,0,0,0,0,333,
"2110313",52,27,22,35,43,55,43,33,34,36,37,38,33,32,26,5,8,9,4,0,0,571,
"2110314",25,21,10,23,17,18,18,29,12,20,33,20,17,28,17,17,6,3,5,0,0,345,
"2110315",21,16,12,17,32,18,29,20,17,18,23,14,17,23,22,8,10,3,0,5,0,322,
"2110316",23,10,24,23,23,33,18,28,31,25,31,23,33,30,22,19,25,10,3,0,0,437,
"2110317",36,31,21,29,24,15,31,30,26,27,25,38,36,39,30,28,13,19,5,0,0,494,
"2110318",30,21,30,40,28,30,24,20,28,31,31,36,30,31,18,20,8,5,3,0,0,463,
"2110319",31,29,20,24,22,26,26,17,14,20,26,29,34,40,19,26,49,35,26,11,0,516,
"2110320",25,37,22,27,20,33,18,30,14,21,20,30,28,25,20,27,21,23,4,0,0,450,
"2110321",40,46,32,27,24,20,24,25,36,37,31,38,24,18,16,14,9,5,0,0,0,457,
"2110322",24,31,11,26,8,18,21,17,20,25,30,18,21,23,9,8,9,5,0,0,0,324,
"2110323",36,30,32,29,37,46,32,37,27,42,39,41,44,28,23,14,11,12,15,0,0,558,
"2110324",13,16,14,17,3,17,14,22,19,18,29,14,20,31,11,23,23,18,14,0,0,342,
"2110325",40,31,40,34,28,31,53,20,32,33,33,37,22,24,15,19,8,0,0,0,0,502,
"2110326",29,36,10,20,29,26,31,33,32,17,18,17,20,22,30,12,11,8,0,0,0,408,
"2110327",34,30,34,32,40,41,42,37,35,39,46,40,36,27,24,36,31,20,4,0,0,637,
"2110328",11,8,14,14,45,38,39,9,21,32,15,23,27,26,26,27,11,7,0,3,0,404,
"2110329",5,7,13,12,14,6,11,8,14,8,18,27,14,15,11,5,4,5,0,0,0,210,
"2110330",17,22,21,16,24,16,12,15,14,14,20,12,15,24,15,24,8,3,0,0,0,290,
"2110331",35,40,26,23,40,42,34,29,27,23,26,30,13,14,25,17,8,0,3,0,0,450,
"2110332",16,24,20,12,14,15,11,11,12,19,8,8,15,9,9,4,0,0,0,0,0,213,
"2110333",34,34,18,33,31,42,23,32,31,15,34,37,28,20,25,14,12,3,0,0,0,464,
"2110334",30,26,21,17,27,50,34,20,23,36,26,33,28,28,15,22,16,9,7,0,0,458,
"2110401",4,12,19,15,4,3,15,14,19,20,31,33,27,17,14,9,0,6,0,0,0,246,
"2110402",6,13,13,17,6,7,8,9,13,16,17,22,22,20,18,13,5,0,0,0,0,222,
"2110403",18,27,29,24,15,15,22,20,29,37,40,46,53,39,24,18,5,3,9,0,0,484,
"2110404",4,16,16,10,4,3,15,16,14,13,15,18,23,23,15,9,6,0,0,0,0,217,
"2110405",15,14,19,21,4,18,5,13,12,37,14,21,33,23,15,13,9,3,0,0,0,286,
"2110406",19,19,12,20,13,12,22,19,17,23,30,36,24,28,17,5,4,0,0,0,0,317,
"2110407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2110408",0,5,4,6,4,9,9,6,3,15,11,24,41,53,26,12,4,3,0,0,0,241,
"2110409",11,10,12,6,20,9,5,0,12,19,20,25,22,35,14,14,15,0,0,0,0,251,
"2110410",4,9,18,18,19,10,13,6,13,33,35,41,39,37,23,7,11,3,4,0,0,350,
"2110411",14,17,36,35,13,11,22,16,39,33,39,63,86,55,26,26,17,9,0,0,0,556,
"2110412",15,19,6,13,13,14,21,11,16,24,21,19,40,31,25,25,19,16,3,0,0,352,
"2110413",20,29,23,15,14,17,11,13,16,14,25,26,21,33,13,21,13,18,4,0,0,363,
"2110414",44,25,40,45,24,26,33,22,25,37,23,35,44,51,44,37,31,18,5,0,0,612,
"2110415",19,16,10,13,17,27,22,11,20,25,21,34,28,26,30,21,26,28,11,6,0,410,
"2110416",11,19,26,31,18,23,13,19,18,30,37,32,30,43,14,19,11,7,0,0,0,398,
"2110501",15,0,8,9,35,33,30,8,8,14,14,18,4,6,0,8,7,4,0,0,0,223,
"2110502",36,32,20,22,98,87,73,64,46,47,19,23,24,15,16,21,15,6,0,0,0,640,
"2110503",24,6,8,10,28,58,46,43,26,38,24,41,39,16,10,13,6,3,0,0,0,449,
"2110504",19,9,9,10,28,68,52,32,24,17,27,14,11,9,9,11,3,5,0,0,0,355,
"2110505",20,11,3,10,25,50,46,36,24,15,18,21,15,22,7,7,4,5,4,0,0,361,
"2110506",17,10,15,13,46,79,54,44,29,27,19,26,18,17,9,9,11,8,0,0,0,443,
"2110507",37,19,5,17,39,69,78,66,42,31,22,22,15,11,12,7,9,5,0,0,0,508,
"2110508",17,3,7,8,46,65,47,36,25,21,16,23,16,12,8,8,5,4,0,0,0,373,
"2110509",14,5,10,12,57,101,74,40,25,19,16,4,6,6,10,4,9,4,0,0,0,410,
"2110510",22,22,12,14,52,85,86,68,44,40,26,26,19,16,20,17,8,8,9,0,0,578,
"2110512",16,18,16,9,20,35,19,17,40,37,23,18,13,7,8,16,5,5,0,0,0,332,
"2110514",24,28,21,18,31,57,43,41,38,46,30,14,21,21,11,11,6,5,3,0,0,458,
"2110515",27,25,16,15,32,49,44,28,34,26,21,21,14,17,12,10,7,8,0,0,0,408,
"2110516",19,26,6,5,16,22,21,30,19,24,19,15,7,7,12,11,6,8,0,0,0,266,
"2110517",35,22,11,28,36,22,28,44,44,21,29,29,18,13,10,10,21,8,0,0,0,424,
"2110518",37,26,15,15,33,48,65,49,41,25,22,12,11,8,19,12,9,0,0,0,0,444,
"2110519",22,13,9,12,41,65,43,31,31,18,12,13,9,9,3,3,6,7,0,0,0,362,
"2110520",27,25,15,23,33,34,26,37,31,11,20,27,13,20,16,15,10,9,3,0,0,403,
"2110521",11,5,19,24,93,127,103,52,32,22,29,20,16,20,21,19,10,9,0,0,0,626,
"2110522",22,15,13,21,93,117,108,64,32,43,20,35,15,13,4,9,16,5,4,0,0,644,
"2110523",35,42,25,33,107,158,131,107,64,59,33,30,28,30,11,13,9,8,4,0,0,934,
"2110524",21,35,24,12,41,51,36,56,44,38,36,17,14,15,20,11,6,3,0,0,0,481,
"2110525",12,15,6,7,26,54,63,39,34,22,18,21,25,15,11,3,3,0,0,0,0,370,
"2110526",25,25,6,15,52,42,55,41,44,36,28,44,9,15,13,22,8,9,6,0,0,502,
"2110527",11,15,22,14,30,24,38,24,29,25,16,23,7,5,9,3,0,0,0,0,0,306,
"2110528",28,29,13,17,22,28,26,32,37,20,23,7,6,8,13,7,8,6,0,0,0,328,
"2110529",24,17,14,19,54,113,83,57,37,31,22,27,16,17,17,14,13,3,0,0,0,564,
"2110530",38,17,9,21,68,101,88,59,32,22,20,34,16,16,8,18,10,7,3,0,0,590,
"2110531",40,26,20,15,59,83,81,71,33,37,29,21,17,22,17,21,8,9,5,0,0,605,
"2110532",10,8,3,6,8,28,39,32,18,17,9,11,7,5,7,8,7,6,0,0,0,210,
"2110533",19,30,8,15,44,65,38,37,25,29,26,30,14,19,16,14,19,5,3,0,0,457,
"2110534",35,28,23,17,60,90,79,69,38,51,28,30,23,23,12,15,15,7,0,0,0,654,
"2110535",17,9,6,15,82,134,114,83,42,35,26,30,24,9,10,4,7,3,0,0,0,635,
"2110536",23,8,12,8,34,48,37,37,26,27,17,19,14,7,0,5,13,3,0,0,0,359,
"2110537",20,13,6,10,62,86,83,57,22,26,13,13,9,19,12,8,9,6,0,0,0,453,
"2110538",9,9,6,23,76,74,64,37,30,16,22,19,16,15,11,6,0,4,0,0,0,446,
"2110539",3,8,11,22,46,88,50,22,40,13,19,22,17,10,6,5,0,0,0,0,0,395,
"2110540",29,30,13,15,69,75,59,49,44,37,35,21,22,18,17,11,8,5,0,0,0,559,
"2110541",25,14,12,10,76,86,90,57,28,32,37,34,48,23,32,27,16,6,0,0,0,659,
"2110542",20,20,14,25,49,65,60,50,27,30,28,26,12,17,10,7,6,7,4,0,0,473,
"2110543",26,18,11,12,48,58,60,53,49,34,19,15,29,22,9,11,5,7,3,4,0,492,
"2110545",40,15,9,24,103,244,218,133,63,34,27,18,9,13,3,4,4,0,0,0,0,960,
"2110546",3,6,3,0,52,58,51,20,14,10,7,8,6,3,3,0,5,0,0,0,0,253,
"2110547",3,14,4,5,31,58,71,34,12,12,10,6,12,4,3,3,4,0,0,0,0,293,
"2110548",5,3,3,9,53,64,52,23,18,13,8,6,4,0,0,4,6,5,0,0,0,272,
"2110549",24,15,16,3,38,64,57,50,39,26,24,15,9,13,6,7,17,0,0,0,0,439,
"2110550",29,20,11,3,24,46,63,56,29,32,18,28,25,15,6,12,5,0,8,0,0,437,
"2110551",8,0,0,0,29,113,65,38,23,3,0,3,0,7,4,14,26,27,25,10,0,401,
"2110552",30,9,14,13,42,75,54,52,36,27,31,34,17,15,9,9,5,0,0,0,0,466,
"2110553",3,0,0,4,16,3,17,13,12,4,6,0,0,3,4,0,0,0,0,0,0,89,
"2110554",8,9,3,11,21,57,49,34,16,21,19,17,3,11,8,10,7,5,0,0,0,309,
"2110555",10,0,4,4,41,63,69,29,24,21,10,7,5,0,0,0,0,0,0,0,0,287,
"2110556",12,24,9,14,48,52,32,34,31,34,25,20,17,15,9,0,3,3,0,0,0,386,
"2110557",11,16,0,4,18,41,29,11,17,9,10,3,7,3,6,5,0,0,0,0,0,207,
"2110558",27,14,0,27,174,262,201,109,59,22,19,17,8,5,10,0,0,4,0,0,0,951,
"2110559",19,9,9,20,130,112,67,33,22,15,19,20,8,10,4,6,0,3,0,0,0,502,
"2110601",36,27,19,20,54,64,82,58,45,42,31,24,23,16,13,17,22,4,0,0,0,590,
"2110602",43,19,15,27,110,282,209,152,67,45,37,32,31,32,17,11,16,3,6,0,0,1154,
"2110603",27,25,19,16,63,142,130,63,52,29,25,24,8,13,11,8,10,3,0,0,0,677,
"2110604",50,33,28,29,163,240,208,135,79,55,34,33,22,22,18,10,6,0,4,0,0,1173,
"2110605",28,31,15,5,24,60,56,51,54,28,18,16,12,12,9,0,7,8,5,0,0,431,
"2110606",20,12,15,8,28,47,49,32,24,28,14,14,10,18,8,3,5,6,0,0,0,317,
"2110607",33,20,13,23,99,174,159,89,51,38,30,23,17,13,13,12,12,14,4,0,0,834,
"2110608",8,18,15,24,35,28,37,30,19,25,50,35,11,23,28,26,22,11,10,0,0,451,
"2110609",29,37,24,8,30,88,80,74,44,27,15,16,16,19,3,5,4,0,0,0,0,522,
"2110610",8,3,5,17,79,128,112,54,32,13,19,11,7,6,5,5,5,0,0,0,0,512,
