Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by AGE5P - Age in Five Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE5P - Age in Five Year Groups","0-4 years","5-9 years","10-14 years","15-19 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-54 years","55-59 years","60-64 years","65-69 years","70-74 years","75-79 years","80-84 years","85-89 years","90-94 years","95-99 years","100 years and over","Total",
"SA1 (UR)",
"1101207",15,12,18,26,23,12,3,15,26,22,22,19,6,9,3,4,0,0,0,0,0,221,
"1101208",27,24,31,21,24,30,29,23,22,20,31,35,27,43,8,13,7,0,0,0,0,423,
"1101209",53,77,68,78,59,31,25,52,84,87,71,52,28,17,7,9,0,0,3,0,0,779,
"1101210",31,43,32,30,34,18,23,27,37,40,40,33,21,13,5,9,0,0,0,0,0,454,
"1101211",40,65,74,63,22,30,16,53,70,68,60,30,20,7,11,0,3,3,0,0,0,626,
"1101212",25,32,31,28,6,25,29,25,36,42,22,10,3,3,0,7,4,0,0,0,0,330,
"1101213",31,47,43,45,28,28,31,29,40,65,51,28,26,13,14,9,0,0,4,0,0,521,
"1101214",27,43,46,55,35,17,25,28,43,64,55,30,25,17,8,7,3,0,0,0,0,532,
"1101215",38,35,30,28,14,19,59,41,43,41,26,15,26,15,19,7,4,0,0,0,0,447,
"1101216",15,25,30,35,12,12,16,22,26,41,27,27,17,10,7,0,11,0,0,0,0,321,
"1101217",0,0,0,0,0,0,0,0,3,3,0,4,6,5,0,0,0,0,0,0,0,35,
"1101218",39,36,40,39,32,21,38,43,34,47,38,24,16,22,9,11,9,4,0,0,0,491,
"1101219",33,24,24,29,52,59,59,41,41,50,46,33,27,11,11,17,11,3,8,0,0,588,
"1101220",39,30,27,33,35,45,33,26,36,27,40,31,16,24,9,7,5,0,0,0,0,475,
"1101221",39,31,23,23,15,32,39,23,18,34,27,8,6,0,0,0,0,0,0,0,0,326,
"1101222",43,67,35,33,22,25,43,34,59,51,40,32,26,22,12,6,3,0,0,0,0,560,
"1101223",51,46,24,29,36,40,62,43,49,34,40,29,28,30,12,17,5,7,0,0,0,581,
"1101224",22,34,51,54,34,12,16,20,42,73,63,38,42,14,14,4,6,0,0,0,0,535,
"1101225",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1101226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1101227",15,22,47,58,28,12,6,15,36,67,48,32,8,0,7,0,0,0,0,0,0,413,
"1101228",25,27,31,27,22,33,27,27,25,27,39,39,20,10,5,4,0,5,0,0,0,397,
