Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"CED (UR) by RLHP Relationship in Household"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RLHP Relationship in Household","Husband, Wife or Partner in a registered marriage","Husband, Wife or Partner in de facto marriage, opposite-sex couple","Husband, Wife or Partner in de facto marriage, male same-sex couple","Husband, Wife or Partner in de facto marriage, female same-sex couple","Lone parent","Natural or adopted child under 15","Step child under 15","Foster child under 15","Grandchild under 15","Otherwise related child under 15","Unrelated child under 15","Natural or adopted dependent student","Dependent student step child","Dependent student foster child","Non-dependent natural, or adopted child","Non-dependent step child","Non-dependent foster child","Brother/sister","Father/mother","Non-dependent grandchild","Grandfather/grandmother","Cousin","Uncle/aunt","Nephew/niece","Other related individual (nec)","Unrelated individual living in family household","Group household member","Lone person","Visitor (from within Australia)","Other non-classifiable relationship","Not applicable","Total",
"CED (UR)",
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,408,419,
"Aston",55184,6956,80,153,5559,21743,827,55,125,56,41,8604,647,4,10115,891,4,1240,1005,178,72,95,63,236,95,1324,2306,9072,3081,3106,3092,136015,
"Ballarat",50964,11436,328,354,6859,25557,1333,98,224,95,66,6027,733,15,7404,743,14,1097,607,171,74,56,45,89,80,1110,4905,16141,6026,6630,5201,154479,
"Batman",49019,12637,613,1118,6015,22947,646,11,138,64,54,6341,393,7,8194,397,3,2287,832,240,121,235,89,252,144,2599,12311,16819,4442,7796,5210,161968,
"Bendigo",50228,11011,259,380,6688,24071,1373,72,246,74,40,5859,606,21,6742,667,11,1085,564,231,103,93,41,77,79,1140,4594,15820,5645,6949,5667,150428,
"Bruce",61451,4554,112,127,6526,24071,665,8,130,125,64,9477,478,0,10106,601,9,2408,1471,226,110,335,140,474,205,3006,6499,10511,3516,5413,4195,157007,
"Calwell",62492,5161,90,96,7673,30077,821,18,283,166,66,11830,510,4,15622,908,0,2039,1390,247,115,198,92,306,188,1438,2717,8161,3731,6526,2433,165410,
"Casey",52662,10724,139,201,6184,24084,1325,43,194,66,50,6904,733,12,9332,1123,9,1064,807,172,75,54,45,127,105,1303,2145,10594,4445,4340,3707,142764,
"Chisholm",58127,6928,234,236,5905,22936,582,20,95,58,51,8810,438,5,8172,419,6,2240,1106,175,87,284,75,300,165,3730,13765,13578,3682,5006,7218,164432,
"Corangamite",56022,10506,169,281,5258,26527,1112,56,133,46,35,6483,672,11,6364,622,4,952,443,126,64,54,40,79,69,1041,4486,13488,6404,5219,5972,152745,
