Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"1103409",3,4,26,31,67,84,0,22,3,10,64,321,
"1103410",6,0,40,33,72,109,0,25,9,16,94,396,
"1103411",4,17,48,39,94,118,0,20,19,21,108,486,
"1103412",10,13,31,36,99,147,0,23,10,23,138,531,
"1103413",7,7,40,32,68,105,0,30,15,18,61,372,
"1103414",4,8,35,18,50,127,0,42,20,55,56,429,
"1103415",7,3,8,13,34,43,0,28,20,29,13,192,
"1103416",6,8,38,23,69,127,0,30,19,33,48,413,
"1103417",4,5,25,36,64,120,0,49,24,51,31,408,
"1103418",22,4,38,58,85,175,0,135,44,96,0,664,
"1103419",12,3,37,25,54,67,0,16,10,14,71,311,
"1103501",16,10,67,51,100,168,0,37,36,30,110,629,
"1103502",0,3,23,33,57,87,0,30,7,19,60,314,
"1103503",16,10,45,31,100,113,0,33,13,35,108,503,
"1103504",4,8,38,46,80,112,0,21,12,32,104,462,
"1103505",10,4,53,41,75,134,0,23,4,21,69,437,
"1103506",10,0,68,50,98,155,0,34,13,26,112,561,
"1103507",4,0,30,14,56,87,0,20,15,19,75,317,
"1103508",21,15,47,52,88,106,0,15,9,26,95,469,
"1103509",4,8,33,28,55,99,0,21,13,18,67,347,
"1103510",14,4,37,38,81,119,0,15,12,34,114,469,
"1103511",16,0,63,40,108,115,0,31,17,16,108,514,
"1103512",11,0,26,23,60,84,0,24,9,12,65,315,
"1103513",6,3,31,39,51,94,0,20,11,19,35,314,
"1103514",11,0,47,19,71,109,0,27,4,17,82,387,
"1103515",9,0,22,21,46,80,0,25,10,24,52,283,
"1103516",9,7,18,21,31,73,0,16,16,26,53,276,
"1103517",4,0,0,4,7,3,0,5,0,5,14,45,
"1103601",7,7,21,27,29,51,0,12,3,0,63,221,
"1103602",10,3,26,23,38,58,0,11,8,3,60,232,
"1103603",9,5,59,42,99,129,0,31,17,25,103,516,
"1103604",6,0,36,22,62,80,0,13,6,10,50,280,
"1103605",11,5,42,36,71,107,0,14,5,18,93,407,
"1103606",3,9,33,18,48,60,0,25,7,15,81,302,
"1103607",17,9,30,25,26,40,0,6,6,19,30,210,
"1103608",12,9,46,34,75,155,0,40,25,67,61,517,
"1103609",9,9,50,32,65,100,0,17,6,10,79,376,
"1103610",10,8,56,47,94,136,0,44,9,37,101,534,
"1103611",4,0,21,23,65,90,0,27,12,25,77,346,
"1103612",0,0,8,12,29,41,0,27,3,15,40,172,
"1103613",14,4,36,32,76,81,0,21,8,32,73,377,
"1103614",7,3,45,29,99,137,0,27,19,35,118,523,
"1103615",5,4,24,19,43,62,0,16,8,8,68,252,
"1103616",10,0,35,30,43,86,0,20,11,9,77,314,
"1103617",15,16,44,24,44,88,0,19,12,29,64,362,
"1103618",12,7,30,25,48,59,0,5,7,10,59,257,
"1103619",12,7,39,38,69,151,0,32,13,20,110,497,
"1103620",11,3,45,40,79,133,0,23,19,32,115,497,
"1103621",24,5,54,65,93,144,0,22,19,23,110,551,
"1103622",5,4,30,30,58,77,0,16,3,14,47,275,
"1103701",15,6,61,70,103,174,0,49,13,56,113,655,
"1103702",19,5,74,42,70,131,0,25,11,32,96,503,
"1103703",26,9,89,57,117,156,4,46,27,23,126,669,
"1103704",12,5,36,27,33,41,0,10,3,17,51,228,
"1103705",5,5,67,42,77,105,0,28,19,22,104,476,
"1103706",12,6,43,28,53,108,0,20,4,17,80,377,
"1103707",17,4,61,56,57,132,0,23,26,20,91,490,
"1103708",15,9,29,25,40,61,0,11,13,8,29,232,
"1103709",27,12,80,59,103,142,0,33,26,46,100,635,
"1103710",16,11,54,26,63,93,0,24,9,16,78,378,
"1103711",9,5,28,38,50,75,0,21,12,11,72,321,
"1103712",18,4,38,25,52,62,0,11,8,24,40,279,
"1103713",16,3,52,50,71,114,0,37,12,75,90,518,
"1103714",18,10,33,51,74,118,0,25,12,41,60,439,
"1103801",10,0,52,38,84,123,0,16,19,36,66,451,
"1103802",11,10,56,52,82,117,0,25,15,30,101,511,
"1103803",4,4,23,35,66,94,3,37,8,29,76,378,
"1103804",3,3,27,34,107,151,0,34,17,30,88,505,
"1103805",0,5,25,27,54,57,0,13,11,12,66,280,
"1103806",0,3,15,18,55,90,0,22,10,17,45,273,
"1103807",11,4,32,47,81,91,0,25,13,37,90,430,
"1103808",3,6,24,33,40,59,0,50,18,57,0,290,
"1103809",11,10,67,44,104,122,0,28,10,31,122,549,
"1103810",8,0,46,33,75,66,0,20,7,21,56,334,
"1103811",11,5,50,44,91,116,0,23,19,22,105,486,
"1103812",9,3,43,36,71,79,0,17,7,17,79,357,
"1103813",5,0,60,39,102,127,0,32,14,23,144,547,
"1103814",14,8,54,44,84,113,0,32,16,40,103,499,
"1103815",16,4,34,33,49,86,0,20,8,31,56,332,
"1103816",10,10,60,33,69,82,0,20,10,30,119,431,
"1103817",4,0,31,33,89,82,0,30,9,15,47,339,
"1103901",30,22,130,58,79,142,0,18,14,43,121,655,
"1103902",9,5,49,40,49,90,0,23,13,25,82,391,
"1103903",9,6,52,28,42,83,0,23,3,17,62,314,
"1103904",14,8,83,61,69,156,0,21,12,32,106,573,
"1103905",7,12,66,38,70,108,0,24,18,13,74,420,
"1103906",15,6,64,41,68,118,0,23,18,28,87,462,
"1103908",27,14,64,43,63,86,0,11,13,36,89,441,
"1103909",26,13,96,62,88,150,0,20,20,35,87,592,
"1103911",38,16,95,52,83,132,0,25,11,27,105,586,
"1103912",24,16,67,55,83,132,0,29,16,33,112,562,
"1103913",24,13,90,50,94,129,0,31,15,44,126,611,
"1103914",14,3,51,37,51,88,0,8,17,17,65,345,
"1103915",14,5,74,48,73,110,0,8,8,30,100,482,
"1103916",9,5,61,46,92,128,0,20,16,31,74,484,
"1103917",5,4,44,32,56,75,0,13,20,14,93,363,
"1103918",22,16,71,52,71,143,0,16,13,18,118,539,
"1103919",22,4,31,37,57,117,0,31,14,39,56,408,
"1103920",28,14,98,54,108,156,0,20,25,43,72,610,
"1103921",12,4,125,49,66,138,0,22,19,55,81,583,
"1103922",34,11,72,45,79,133,0,36,16,26,77,538,
"1103923",16,6,63,25,41,67,0,10,6,16,58,310,
"1103924",5,0,8,19,34,81,0,40,3,32,0,209,
"1103925",21,7,74,38,59,113,0,16,17,14,89,444,
"1103926",41,12,108,64,67,123,0,24,15,45,127,629,
"1103927",13,9,58,48,68,125,0,15,9,27,91,465,
"1103928",12,10,70,46,53,94,0,9,17,25,94,432,
"1103929",18,9,63,30,53,91,0,22,11,26,80,402,
"1103930",6,0,17,8,24,41,0,13,7,12,38,169,
"1103931",13,11,51,36,38,84,0,10,12,22,28,306,
"1104001",4,0,27,21,49,112,0,36,12,28,64,352,
"1104002",6,7,24,26,41,99,0,43,11,28,44,324,
"1104003",15,4,42,23,47,58,0,14,11,15,67,280,
"1104004",10,0,38,42,79,120,4,32,13,28,78,447,
"1104005",8,0,33,29,41,98,0,29,10,21,42,313,
"1104006",4,3,47,37,95,130,0,39,21,66,54,493,
"1104007",8,5,27,21,49,104,0,35,14,33,41,338,
"1104008",0,0,0,0,0,0,0,0,0,3,0,3,
"1104009",6,6,39,40,90,152,0,65,12,70,37,526,
"1104010",0,0,16,24,57,90,0,53,13,68,27,338,
"1104011",7,7,36,24,62,107,0,32,19,45,34,362,
"1104012",3,4,24,21,55,89,0,14,10,35,72,328,
"1104013",12,4,36,46,82,163,3,46,10,54,117,577,
"1104014",5,0,13,19,63,85,0,53,14,236,22,513,
"1104015",6,12,27,16,30,54,0,15,10,18,12,192,
"1104016",50,17,93,55,59,96,0,19,23,65,56,538,
"1104017",7,7,27,34,109,179,4,92,21,68,91,636,
"1104018",8,0,27,29,88,111,0,38,11,47,95,452,
"1104019",7,7,24,26,99,132,0,48,11,32,100,486,
"1104020",8,0,23,27,89,153,0,38,13,25,82,460,
