Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"SA1 (UR)",
"3129602",47,24,210,136,233,407,0,33,41,62,491,1684,
"3129605",30,10,113,81,112,217,0,12,23,27,183,809,
"3129606",20,10,45,56,122,186,0,30,15,30,152,666,
"3129607",0,5,36,23,66,133,0,21,7,32,77,396,
"3129608",0,0,26,28,60,98,0,3,12,17,56,307,
"3129609",3,6,39,40,79,119,0,18,8,36,109,458,
"3129610",9,3,31,51,133,238,0,45,22,65,275,868,
"3129611",9,4,22,17,70,136,0,48,13,44,79,435,
"3129612",7,8,28,34,54,73,0,9,9,14,95,335,
"3129613",31,6,102,70,149,173,0,20,25,66,262,902,
"3129614",10,3,30,40,68,152,0,14,5,85,145,556,
"3129615",6,0,27,21,84,129,0,23,12,46,78,435,
"3129616",9,11,27,30,90,135,0,23,7,43,95,461,
"3129617",4,4,33,41,104,170,0,29,14,29,119,542,
"3129618",0,3,24,20,55,109,0,21,4,45,97,371,
"3129619",38,9,131,104,182,270,0,24,19,48,341,1173,
"3129620",20,8,69,45,46,86,0,3,6,12,106,404,
"3129621",41,7,82,55,49,99,0,5,7,19,128,488,
"3129622",33,9,105,71,84,155,0,17,10,11,230,719,
"3129623",32,7,66,43,87,152,0,18,15,15,200,626,
"3129624",15,13,70,37,55,125,0,9,9,22,104,450,
"3129701",10,3,25,27,68,147,0,51,22,73,117,540,
"3129702",6,3,17,14,56,114,0,33,9,47,61,357,
"3129703",3,4,16,26,59,131,0,31,19,44,101,428,
"3129704",6,8,30,32,113,152,0,22,11,18,76,462,
"3129705",0,9,8,20,38,72,0,26,5,15,40,227,
"3129706",5,0,19,17,46,61,0,6,8,15,29,206,
"3129707",8,8,38,45,95,167,0,22,11,25,100,514,
"3129708",7,0,29,32,54,121,0,21,8,26,79,372,
"3129709",3,0,33,24,94,160,0,19,7,41,83,469,
"3129710",7,0,11,17,31,82,0,24,9,39,51,275,
"3129711",0,0,7,22,42,67,0,13,8,17,47,223,
"3129712",8,6,32,31,114,181,0,39,22,49,165,648,
"3129713",0,4,13,15,51,94,0,14,8,27,67,299,
"3129714",0,0,0,0,0,0,0,0,0,0,0,0,
"3129715",3,0,22,21,41,80,0,13,6,21,60,274,
"3129716",7,3,23,25,58,97,0,16,6,19,38,291,
"3129717",3,3,30,31,83,139,0,20,8,30,97,440,
"3129718",3,0,22,30,71,125,0,30,11,46,76,417,
"3129719",3,6,38,43,107,170,0,34,12,42,114,564,
"3129720",6,9,39,32,102,203,0,26,20,30,129,595,
"3129721",13,4,31,33,90,125,0,21,9,37,92,455,
"3129722",4,0,18,30,64,119,0,22,18,27,89,392,
"3129723",5,3,21,22,66,105,0,19,6,32,69,343,
"3129724",7,6,36,48,92,123,0,13,11,24,85,442,
"3129801",0,0,0,0,0,0,0,0,0,0,0,7,
"3129901",0,0,7,15,46,98,0,26,5,36,56,291,
"3129902",0,4,0,24,40,84,0,19,9,24,101,304,
"3129903",10,3,23,26,43,90,0,19,6,24,63,316,
"3129904",0,0,21,17,47,89,0,23,23,16,50,281,
"3129905",9,0,37,37,74,167,0,34,3,24,78,470,
"3129906",0,3,25,38,93,169,0,32,13,33,125,537,
"3129907",4,8,33,22,62,123,0,23,7,17,138,444,
"3129908",0,7,30,31,65,144,0,16,14,33,151,483,
"3129909",4,4,37,25,52,127,0,13,14,13,140,427,
"3129910",3,7,9,27,70,108,0,14,8,18,66,331,
"3129911",3,0,10,14,45,62,0,12,9,17,72,245,
"3129912",3,6,33,42,88,139,0,28,16,17,86,453,
"3129913",3,3,21,31,71,182,0,48,18,68,120,573,
"3129915",9,8,24,39,75,180,0,15,17,27,180,574,
"3129916",5,3,31,51,78,197,0,28,18,38,217,668,
"3129917",0,0,0,0,0,0,0,0,0,0,0,0,
"3129918",0,0,0,0,0,0,0,0,0,0,0,0,
"3129919",0,0,0,0,0,0,0,0,0,5,0,5,
"3129920",0,0,0,0,0,0,0,5,0,0,0,7,
"3129921",0,0,13,18,32,73,0,14,12,22,50,233,
"3129922",4,0,3,22,44,80,5,23,3,33,47,259,
"3129923",0,4,23,11,34,118,0,35,12,43,65,342,
"3129924",0,0,13,18,55,91,0,13,5,19,70,300,
"3129925",3,4,25,22,52,142,0,18,18,45,145,475,
"3129926",6,0,24,21,75,135,0,15,15,53,165,515,
"3130001",10,5,32,34,66,115,0,21,13,51,66,420,
"3130002",11,6,26,18,78,163,0,44,19,67,111,528,
"3130003",0,4,20,25,50,153,0,41,10,101,86,497,
"3130004",7,0,13,11,47,148,0,28,18,22,125,420,
"3130005",9,8,39,45,99,169,3,40,20,34,165,634,
"3130006",5,3,22,29,68,182,0,45,16,45,90,510,
"3130007",5,4,25,26,64,166,0,40,12,37,99,480,
"3130008",13,9,63,61,135,280,0,42,28,76,321,1017,
"3130009",3,4,29,21,47,94,0,32,12,14,61,314,
"3130010",4,7,28,22,57,76,0,41,5,30,84,349,
"3130011",5,3,7,4,17,73,0,19,6,23,68,209,
"3130012",0,4,18,27,38,103,0,32,13,35,72,345,
"3130013",5,8,40,36,73,119,0,24,16,43,76,450,
"3130014",0,0,6,6,26,76,0,36,14,25,84,269,
"3130015",0,0,11,20,44,111,4,32,15,57,197,498,
"3130016",10,3,40,52,78,214,0,56,29,75,243,808,
"3130017",6,0,15,20,52,132,0,34,14,42,156,475,
"3130018",6,0,34,17,81,140,0,21,8,106,126,542,
"3130020",6,0,9,19,49,142,0,38,10,38,129,440,
"3130021",4,3,23,24,46,192,0,36,18,75,118,538,
"3130022",13,7,37,57,84,190,0,33,28,71,294,820,
"3130023",4,0,17,20,28,79,0,24,15,34,82,309,
"3130101",0,0,0,0,0,0,0,0,0,0,0,0,
"3130201",3,3,18,27,80,217,0,34,16,27,202,626,
"3130202",19,3,58,63,145,275,0,17,23,44,297,951,
"3130203",4,3,32,15,89,197,0,47,10,81,233,713,
"3130205",4,5,41,38,61,188,0,42,16,79,118,595,
"3130206",0,0,0,0,3,6,0,0,0,11,0,20,
"3130207",0,3,23,18,81,182,0,31,12,42,124,531,
"3130208",8,0,24,24,68,144,0,32,11,48,133,494,
"3130209",9,8,26,21,85,136,0,29,11,40,74,439,
"3130210",0,0,19,30,74,144,3,34,8,25,154,494,
"3130211",7,4,13,26,43,120,0,21,14,38,99,374,
"3130212",4,0,19,30,69,160,0,25,4,31,121,464,
"3130215",3,0,24,37,104,192,0,32,15,24,151,585,
"3130216",0,6,16,33,86,145,0,27,11,30,120,474,
"3130217",4,0,27,46,119,247,0,31,22,60,311,865,
"3130218",6,9,18,33,70,209,0,13,15,40,214,629,
"3130219",3,0,8,25,49,141,0,28,9,32,71,370,
"3130220",3,0,13,15,51,111,0,19,14,42,84,359,
"3130221",3,4,14,36,77,182,0,59,17,39,234,669,
"3130222",4,0,14,18,65,101,0,20,14,34,69,347,
"3130223",4,8,10,14,56,106,0,20,15,36,64,342,
"3130224",0,0,8,24,59,127,0,16,3,19,94,350,
"3130225",0,3,10,14,59,101,0,17,7,14,69,294,
"3130226",0,4,9,17,44,102,0,23,0,23,61,285,
"3130227",13,5,25,43,120,221,0,30,19,43,165,699,
"3130228",0,0,14,25,45,106,0,8,6,17,68,286,
"3130229",5,7,30,25,93,145,0,55,10,39,107,523,
"3130230",0,0,15,20,62,130,0,27,9,64,158,483,
"3130231",19,7,43,63,129,264,0,28,33,67,352,998,
"3130232",20,7,57,74,159,297,3,33,31,90,366,1126,
"3130233",4,0,19,17,59,84,0,11,4,15,110,320,
"3130234",0,0,13,31,65,113,0,24,8,39,152,445,
"3130235",3,3,36,46,109,213,0,31,24,42,260,777,
"3130236",7,5,20,28,97,182,0,31,21,43,229,665,
"3130237",5,8,28,44,121,208,0,27,11,48,223,723,
"3130238",8,7,47,61,122,256,0,35,26,35,375,981,
"3130301",11,5,47,32,84,148,0,12,13,35,140,527,
"3130302",3,8,46,40,113,179,0,28,11,32,145,604,
"3130303",15,4,42,35,73,151,0,23,7,12,102,458,
"3130304",6,3,21,20,42,69,0,4,5,8,50,236,
"3130305",9,9,36,40,77,178,0,15,14,19,121,508,
"3130307",5,0,11,20,44,62,0,9,4,6,82,251,
"3130308",8,6,39,37,73,132,0,14,19,29,125,489,
"3130311",8,0,55,28,78,142,0,14,12,23,132,489,
"3130312",8,4,24,23,54,97,0,11,7,16,67,308,
"3130313",12,5,42,30,66,145,0,23,7,20,145,495,
"3130314",0,0,0,0,0,0,0,0,0,0,0,0,
"3130315",3,7,36,25,53,124,0,17,15,22,117,413,
"3130316",6,7,22,18,33,64,0,4,5,29,64,241,
"3130317",19,4,42,24,52,77,0,10,4,16,80,321,
"3130318",13,3,46,40,79,155,0,17,7,28,206,596,
"3130319",11,3,31,25,62,103,0,17,9,14,121,392,
"3130320",12,3,30,37,78,107,0,15,11,24,123,439,
"3130401",39,24,153,102,155,261,0,25,23,53,344,1178,
"3130403",26,12,86,61,128,189,0,18,25,46,308,892,
"3130405",45,5,150,80,173,279,0,21,29,42,365,1196,
"3130406",12,4,27,37,63,129,0,14,9,16,147,470,
"3130407",10,3,35,22,54,112,0,8,9,16,105,378,
"3130408",8,3,53,19,56,59,0,11,4,9,95,309,
"3130409",9,8,82,59,83,132,0,24,15,14,174,598,
"3130410",24,3,91,57,68,198,5,23,21,21,187,683,
"3130411",11,3,29,33,40,75,0,5,9,10,104,313,
"3130412",15,4,46,36,52,85,0,10,15,19,93,380,
"3130413",17,0,36,30,53,93,0,13,5,17,89,365,
"3130414",13,7,44,26,59,96,0,10,6,27,109,397,
"3130415",12,7,42,20,46,95,0,8,9,16,90,351,
"3130416",15,4,43,23,53,106,0,15,9,16,88,364,
"3130417",53,16,201,139,226,388,0,26,24,99,393,1571,
"3130418",15,0,37,25,46,93,0,9,7,12,89,331,
"3130419",21,16,70,67,91,178,0,28,20,29,167,697,
"3130421",7,6,40,32,56,132,0,13,10,28,98,420,
"3130422",7,4,33,22,66,77,0,5,10,15,84,330,
"3130423",0,0,0,0,0,0,0,0,0,0,0,0,
"3130424",15,5,50,34,55,75,0,4,5,12,96,340,
"3130425",33,9,92,57,77,168,0,12,14,30,203,685,
"3130426",12,0,46,39,59,112,0,10,5,35,165,485,
"3130427",16,7,34,26,50,93,0,8,7,16,85,347,
"3130428",34,9,77,61,91,163,0,18,16,65,215,745,
"3130429",22,8,82,61,90,133,4,27,12,40,196,670,
"3130430",31,10,112,85,125,212,0,23,29,40,269,936,
"3130501",7,5,14,14,49,65,0,23,3,22,68,277,
"3130502",6,0,14,17,31,119,0,48,6,46,46,339,
"3130503",0,0,24,28,80,161,0,64,12,50,95,513,
"3130504",0,3,3,9,24,87,0,42,8,49,38,253,
"3130505",3,0,16,16,37,92,0,118,18,86,45,437,
"3130506",7,5,14,19,77,195,0,60,16,77,94,562,
"3130507",0,0,20,17,52,119,0,43,10,55,79,389,
"3130508",0,0,25,31,73,164,0,59,10,46,69,478,
"3130509",3,3,16,34,48,119,0,58,11,37,62,396,
"3130510",5,12,31,47,128,242,0,82,27,84,253,905,
"3130512",3,0,10,16,51,106,4,62,11,55,76,382,
"3130513",3,0,14,20,58,104,0,41,4,17,51,318,
"3130515",3,0,32,14,41,102,0,16,7,16,33,265,
"3130516",11,9,44,38,121,195,0,35,21,71,163,705,
"3130517",4,3,36,23,70,134,0,46,3,62,72,460,
"3130518",7,4,17,13,54,114,0,21,11,33,63,340,
"3130519",6,3,17,19,83,149,0,39,8,69,156,554,
"3130520",8,5,19,39,126,191,0,42,22,64,183,705,
"3130521",4,4,25,32,98,132,0,40,13,49,46,441,
"3130522",0,4,14,11,32,81,0,21,7,18,33,222,
"3130523",0,5,17,26,43,71,0,43,10,11,57,277,
"3130524",5,3,27,30,62,171,0,30,9,53,85,478,
"3130525",0,4,3,5,33,47,0,27,3,12,32,169,
"3130526",4,3,23,27,40,77,0,20,0,32,64,291,
"3130527",3,5,26,28,80,143,0,48,9,53,76,468,
"3130528",4,8,18,14,33,92,0,22,7,21,45,265,
"3130529",0,0,6,11,27,57,0,21,0,157,35,304,
"3130530",11,4,25,40,78,190,0,40,13,62,79,538,
"3130531",4,5,30,46,110,147,0,34,12,38,189,607,
"3130532",4,0,20,32,93,156,0,63,19,86,171,639,
"3130533",6,3,27,26,73,142,0,35,16,63,130,530,
"3130534",3,0,18,29,68,131,0,36,16,32,78,402,
"3130601",0,0,0,0,0,3,0,0,0,0,0,6,
"3130602",7,0,13,23,44,87,0,13,3,19,52,263,
"3130603",3,4,25,22,99,153,0,35,17,37,124,512,
"3130604",0,0,26,28,80,129,0,27,13,39,86,438,
"3130605",5,3,19,13,52,54,0,14,11,18,39,224,
"3130606",0,6,20,25,80,119,0,21,9,37,90,409,
"3130607",0,3,12,19,44,78,0,27,12,19,77,294,
"3130608",4,0,18,31,104,184,0,39,13,51,134,576,
"3130609",5,0,14,20,81,156,0,47,18,53,107,496,
"3130610",4,0,11,20,64,121,0,45,4,31,79,375,
"3130611",5,4,28,26,92,153,3,38,19,57,118,539,
"3130612",6,0,12,22,25,99,0,30,8,69,70,349,
"3130613",0,0,14,15,39,99,0,29,12,40,33,281,
"3130614",9,3,20,31,91,236,0,60,20,70,104,642,
"3130615",0,3,23,20,82,160,0,39,11,31,76,435,
"3130616",3,4,14,19,56,113,0,26,12,30,61,344,
"3130617",10,0,27,28,71,172,0,46,15,78,73,521,
"3130618",3,0,12,22,60,148,0,70,16,55,64,461,
"3130619",5,0,8,3,34,70,0,36,6,30,29,224,
"3130620",4,3,10,24,43,95,0,36,4,65,70,354,
"3130621",0,0,13,18,30,88,0,34,6,30,50,278,
"3130622",5,0,0,0,0,0,0,0,0,3,0,5,
"3130623",0,0,9,9,46,57,0,21,7,15,60,218,
"3130701",0,0,7,28,56,132,0,68,9,36,108,440,
"3130702",4,0,17,27,65,165,0,61,20,50,119,523,
"3130703",0,3,13,24,74,148,5,41,5,66,119,491,
"3130704",8,0,20,36,82,158,0,42,12,51,119,529,
"3130705",0,0,6,3,13,20,0,7,0,6,10,72,
"3130706",0,0,3,0,0,3,0,0,0,5,3,17,
"3130707",4,0,3,24,56,154,0,51,9,68,11,380,
"3130710",6,0,7,28,54,110,0,41,7,21,122,399,
"3130711",0,0,18,25,41,84,0,18,11,31,64,292,
"3130713",3,0,23,27,81,189,0,44,9,43,120,533,
"3130715",0,0,8,21,50,107,0,39,15,35,66,346,
"3130716",4,0,12,20,58,106,3,62,8,76,87,432,
"3130717",0,3,13,15,66,147,0,36,5,79,119,476,
"3130718",0,0,16,26,82,146,0,36,4,63,89,472,
"3130719",4,12,56,62,138,337,0,104,43,90,105,954,
"3130720",0,0,3,10,23,53,0,15,5,20,54,180,
"3130721",3,0,14,32,67,163,0,43,3,56,109,498,
"3130722",3,3,31,32,80,144,3,30,18,56,78,484,
"3130723",0,5,16,25,97,146,3,35,17,33,84,465,
"3130725",4,0,11,22,60,116,0,38,10,23,132,411,
"3130726",4,7,14,32,85,155,0,33,6,33,109,481,
"3130727",0,0,12,20,58,141,0,25,8,16,168,452,
"3130728",0,0,25,29,71,133,0,33,18,67,87,475,
"3130729",0,0,9,17,41,99,0,22,9,35,58,289,
"3130730",3,4,31,40,120,242,0,94,21,70,0,626,
"3130731",3,0,13,16,52,93,0,13,17,42,117,377,
"3130732",8,4,10,27,41,92,0,12,9,32,98,326,
"3130733",0,0,12,13,28,96,5,14,11,16,62,262,
"3130734",3,3,32,37,80,137,0,34,18,35,126,508,
"3130735",0,0,19,20,47,106,3,18,13,26,128,378,
"3130736",5,0,22,30,94,172,0,24,10,35,129,533,
"3130737",0,0,4,17,43,55,0,22,3,19,68,240,
"3130801",0,9,16,22,63,114,0,21,9,29,116,407,
"3130802",9,8,42,57,125,207,0,31,14,31,182,711,
"3130803",3,8,16,18,53,81,0,19,11,23,69,303,
"3130804",8,8,32,43,71,123,0,17,11,35,93,444,
"3130805",14,8,30,51,91,162,0,21,13,33,119,533,
"3130806",7,9,24,28,62,112,0,24,9,26,83,388,
"3130807",3,6,37,26,69,130,0,19,8,21,116,442,
"3130808",3,4,42,27,56,96,0,21,11,26,79,359,
"3130809",0,6,23,27,49,102,0,17,8,24,86,334,
"3130810",0,0,15,10,29,73,0,13,3,23,58,231,
"3130811",3,0,32,29,52,84,0,21,3,17,71,309,
"3130812",20,12,109,124,271,514,0,62,53,84,486,1744,
"3130813",3,5,27,22,73,135,0,55,15,26,69,433,
"3130814",7,3,28,30,89,161,0,22,13,51,95,497,
"3130815",0,0,17,19,55,94,0,19,6,17,91,315,
"3130901",4,3,28,30,85,150,0,21,10,58,129,519,
"3130902",4,0,22,28,78,103,0,18,5,18,81,366,
"3130903",0,5,31,41,79,154,0,20,20,23,106,486,
"3130904",0,0,8,19,27,80,0,39,13,33,0,214,
"3130905",12,6,40,42,75,145,0,25,10,22,140,514,
"3130906",0,4,29,29,69,101,0,17,5,21,72,357,
"3130907",0,0,13,11,67,106,0,24,15,20,88,350,
"3130908",0,3,22,18,54,118,0,38,3,27,43,333,
"3130909",6,4,24,39,81,164,4,57,12,56,108,552,
"3130910",7,3,25,21,62,93,0,33,9,21,76,345,
"3130911",0,0,18,17,45,84,0,24,11,20,75,291,
"3130912",5,0,14,15,49,71,0,5,7,15,49,225,
"3130913",10,7,21,27,72,128,0,22,9,29,87,402,
"3130914",5,4,7,12,53,66,0,12,6,15,33,215,
"3130915",6,7,31,37,73,127,0,25,17,20,75,416,
"3130916",6,3,14,16,34,52,0,15,0,9,52,205,
"3131001",5,6,28,19,58,86,0,12,13,23,53,302,
"3131002",7,11,60,52,100,190,0,12,15,22,141,613,
"3131003",4,0,30,42,124,185,5,38,12,28,110,589,
"3131005",15,5,43,48,137,237,0,35,21,47,167,752,
"3131006",0,3,15,19,59,94,0,18,9,17,52,291,
"3131007",8,13,45,51,103,191,0,26,18,17,139,616,
"3131008",8,12,38,40,90,147,0,26,15,29,109,515,
"3131009",10,5,36,24,62,101,0,18,0,14,41,313,
"3131010",15,7,47,64,164,276,0,32,23,53,282,959,
"3131011",3,5,29,34,90,131,0,27,17,33,74,445,
"3131012",0,4,19,15,46,63,0,4,3,19,46,225,
"3131013",6,4,20,41,82,145,0,32,13,31,103,485,
"3131101",6,0,22,22,76,107,0,17,3,25,107,380,
"3131102",4,0,14,18,63,149,0,35,8,48,122,462,
"3131103",3,0,26,30,103,221,0,28,16,24,138,596,
"3131104",3,0,15,30,112,181,0,34,16,40,150,582,
"3131105",3,4,23,22,81,147,0,44,17,27,76,441,
"3131106",3,0,28,28,112,186,0,51,19,49,156,635,
"3131107",0,4,19,28,71,137,0,24,5,40,136,472,
"3131108",7,4,21,26,72,125,0,41,13,65,72,426,
"3131110",6,0,12,8,38,77,0,16,3,16,49,233,
"3131111",0,0,27,12,52,80,0,31,14,8,40,270,
"3131112",0,3,14,5,36,66,0,18,10,13,31,202,
"3131113",10,8,12,15,37,90,0,23,15,55,67,329,
"3131114",5,10,30,28,72,139,0,22,12,27,62,401,
"3131115",8,3,38,24,83,138,0,24,12,38,47,424,
"3131116",0,3,21,21,61,124,0,21,5,18,60,343,
"3131117",5,4,28,25,62,170,0,97,16,36,54,510,
"3131118",3,3,22,19,74,118,0,22,5,22,48,335,
"3131119",0,0,6,16,45,106,0,62,8,46,3,292,
"3131120",0,3,6,15,43,95,0,24,11,36,60,296,
"3131121",0,0,0,0,0,0,0,0,0,0,0,0,
"3131123",0,6,14,21,48,86,0,12,4,24,84,295,
"3131124",3,0,18,24,56,143,0,19,0,23,114,405,
"3131125",4,0,14,20,74,111,0,23,10,12,113,376,
"3131126",4,4,33,20,88,134,0,30,12,22,121,453,
"3131127",9,0,32,50,132,207,0,34,16,42,205,733,
"3131128",0,6,19,35,90,189,0,37,9,39,126,549,
"3131129",3,0,22,17,37,68,0,7,7,13,36,209,
"3131130",6,4,22,29,88,144,0,20,12,36,142,502,
"3131131",0,4,11,17,67,179,0,99,16,84,0,478,
"3131132",3,0,28,17,46,107,0,36,7,51,54,353,
"3131133",3,0,22,14,17,72,0,47,9,59,9,261,
"3131201",9,0,25,30,82,136,0,29,16,56,108,481,
"3131202",0,0,8,17,39,86,0,15,9,17,45,242,
"3131203",3,0,13,23,47,89,0,17,10,18,97,318,
"3131204",0,0,18,16,41,93,0,22,12,41,68,311,
"3131205",3,0,19,9,52,109,0,26,8,31,88,348,
"3131206",18,5,81,57,120,242,0,28,17,82,208,856,
"3131207",4,0,30,27,77,140,5,38,13,57,144,521,
"3131208",0,0,29,17,44,93,0,30,24,29,101,361,
"3131209",0,0,0,0,0,0,0,0,0,5,0,9,
"3131211",13,6,25,38,86,151,0,24,0,43,107,495,
"3131213",12,0,20,24,99,160,0,42,6,38,94,505,
"3131214",3,5,16,14,80,117,0,30,18,23,62,378,
"3131215",6,0,21,32,73,148,0,28,13,42,81,439,
"3131216",0,0,23,19,65,131,0,25,9,18,76,369,
"3131217",10,5,28,27,85,159,0,52,12,71,128,576,
"3131218",29,4,73,60,92,187,0,35,15,26,182,692,
"3131219",16,0,46,31,70,124,0,11,14,12,140,476,
"3131301",0,4,12,16,39,93,0,16,6,30,40,253,
"3131302",3,0,9,25,33,75,0,23,7,24,33,240,
"3131303",0,0,18,13,41,83,0,13,6,12,49,241,
"3131304",13,16,129,93,279,499,0,84,44,121,413,1691,
"3131305",5,5,33,34,93,179,0,56,20,39,80,543,
"3131306",4,4,15,13,86,127,0,30,7,29,52,367,
"3131307",0,0,13,13,30,75,0,17,10,23,55,232,
"3131308",4,3,19,26,63,91,0,22,4,21,59,324,
"3131309",6,0,33,28,75,162,0,25,24,23,77,457,
"3131310",0,0,26,23,85,132,0,26,9,39,88,423,
"3131311",8,5,19,16,52,95,0,15,12,13,52,293,
"3131401",0,5,23,27,70,145,0,28,9,36,167,510,
"3131402",3,4,9,15,52,139,0,31,12,24,68,357,
"3131403",0,0,14,17,42,109,0,17,23,28,102,350,
"3131404",0,8,20,21,61,114,0,25,13,29,116,393,
"3131405",0,0,18,23,71,146,0,26,13,29,96,417,
"3131406",0,5,11,21,61,137,0,25,7,37,96,390,
"3131407",14,6,34,52,118,254,0,32,33,75,271,879,
"3131408",0,0,11,22,65,153,0,19,22,62,178,538,
"3131409",0,0,0,0,0,0,0,0,0,0,0,0,
"3131410",0,0,20,24,63,174,0,43,5,50,124,508,
"3131411",0,7,11,20,86,193,3,42,18,26,116,521,
"3131412",0,0,0,0,0,0,0,0,0,0,0,0,
"3131413",4,3,12,29,60,148,0,21,15,48,173,515,
"3131414",0,0,24,36,90,191,0,44,14,71,259,729,
"3131415",0,0,4,13,42,102,0,30,14,24,120,347,
"3131416",4,3,21,27,82,144,0,36,10,41,144,505,
"3131417",0,0,0,16,58,124,0,22,9,46,90,377,
"3131418",0,0,6,14,38,99,0,25,3,37,68,287,
"3131419",0,0,9,19,71,128,0,28,9,57,117,441,
"3131420",0,4,12,22,69,196,0,44,16,25,125,515,
"3131421",0,0,19,12,73,167,4,33,11,39,123,490,
"3131422",0,0,3,19,66,98,0,18,5,22,94,333,
"3131423",3,0,14,17,61,128,0,42,11,46,125,451,
"3131424",3,0,4,15,47,103,0,15,0,30,76,296,
"3131425",0,0,11,19,64,159,0,33,8,64,110,459,
"3131426",0,5,12,14,52,114,0,27,14,34,112,379,
"3131427",3,0,46,49,147,244,0,46,20,106,336,992,
"3131501",0,0,0,0,0,0,0,0,0,0,0,0,
"3131601",8,0,28,30,72,148,0,42,13,44,135,532,
"3131602",3,0,25,30,55,112,0,22,5,18,86,361,
"3131603",0,4,6,15,34,86,0,9,9,19,62,242,
"3131604",4,3,28,28,82,177,0,37,18,21,145,533,
"3131605",3,0,31,35,81,131,0,27,10,30,90,439,
"3131606",0,3,13,16,44,66,0,11,6,23,51,232,
"3131607",0,0,29,49,111,190,0,20,17,25,157,600,
"3131608",13,0,40,37,86,227,0,37,20,40,162,653,
"3131609",3,0,29,27,99,164,0,26,10,25,88,477,
"3131610",0,6,28,30,74,116,0,19,15,24,78,375,
"3131611",3,4,29,30,90,117,0,35,14,25,71,431,
"3131612",7,0,16,16,61,103,0,17,7,25,66,313,
"3131613",0,0,0,0,0,6,0,0,0,0,0,7,
"3131614",3,5,32,24,83,137,0,28,11,16,93,433,
"3131615",16,14,51,32,82,132,0,11,6,22,77,445,
"3131616",9,0,30,25,41,83,0,5,5,6,33,231,
"3131617",20,11,79,45,99,180,0,26,14,17,139,637,
"3131618",11,12,61,35,88,139,0,18,14,26,89,483,
"3131619",10,6,37,39,70,124,0,6,10,32,65,411,
"3131620",5,0,42,7,54,87,0,11,3,27,86,332,
"3131701",3,0,6,5,39,68,0,21,7,20,48,216,
"3131703",9,8,27,33,72,200,0,50,22,48,194,650,
"3131704",3,0,9,22,44,108,0,27,20,55,75,366,
"3131706",6,4,16,42,86,209,0,46,28,43,206,681,
"3131707",13,0,18,25,75,186,0,27,16,48,217,635,
"3131709",0,0,17,22,65,130,0,32,22,40,131,462,
"3131710",3,0,9,14,57,102,0,19,3,28,85,328,
"3131711",11,9,51,67,126,293,0,54,22,87,324,1034,
"3131712",3,0,3,12,53,121,0,39,9,52,118,409,
"3131713",4,0,9,19,40,74,0,21,3,23,56,252,
"3131714",0,0,8,13,40,71,0,22,5,30,59,245,
"3131715",0,0,15,19,76,150,0,29,15,76,109,496,
"3131717",0,0,10,23,66,143,0,31,12,43,126,451,
"3131718",0,0,5,19,32,71,0,17,9,6,42,209,
"3131719",3,3,20,23,94,205,0,39,16,52,183,638,
"3131720",3,0,11,24,34,103,0,30,11,26,96,330,
"3131721",3,0,17,18,38,115,0,26,20,36,72,348,
"3131722",0,0,4,9,34,92,0,14,5,16,60,241,
"3131723",0,0,18,28,90,179,0,45,15,45,130,552,
"3131724",0,0,18,24,70,153,0,55,12,56,109,502,
"3131725",5,0,10,10,34,69,0,17,10,11,58,217,
"3131726",0,0,0,0,0,0,0,0,0,0,0,3,
"3131727",0,0,26,25,73,161,4,40,27,52,181,597,
"3131728",10,4,35,39,105,206,0,29,24,72,247,765,
"3131729",8,0,20,18,35,70,0,13,5,24,50,249,
"3131730",5,0,21,15,62,127,0,18,14,79,172,513,
"3131731",4,3,8,19,41,140,0,19,13,72,142,462,
"3131732",6,5,39,40,88,254,4,61,29,134,332,995,
"3131733",6,0,32,51,144,291,0,64,29,89,353,1057,
"3131734",4,0,8,11,70,141,0,40,12,51,195,545,
"3131801",4,0,16,20,59,85,0,27,8,32,65,313,
"3131802",4,3,20,28,61,113,0,21,9,22,91,364,
"3131803",0,0,10,16,42,61,0,18,10,21,34,209,
"3131804",0,0,13,17,55,68,0,8,10,13,50,234,
"3131805",4,8,11,13,49,112,0,39,10,13,47,303,
"3131806",7,0,19,12,38,89,0,33,9,19,51,274,
"3131807",6,0,22,16,89,160,0,31,9,20,59,413,
"3131808",4,0,24,24,89,157,0,31,21,29,65,437,
"3131809",8,7,25,26,65,120,0,25,10,9,69,359,
"3131810",5,5,33,31,76,148,0,22,6,20,71,405,
"3131811",6,5,30,20,66,122,0,23,12,22,73,369,
"3131812",0,3,26,23,78,121,0,10,4,20,75,374,
"3131813",0,0,14,20,64,89,0,14,9,5,48,271,
"3131814",6,3,12,16,74,88,0,14,8,12,61,289,
"3131901",10,9,47,35,68,139,0,21,11,27,89,442,
"3131902",3,0,29,21,85,141,0,20,8,15,126,457,
"3131903",6,0,16,17,44,99,0,21,5,20,70,297,
