Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"SA1 (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"SA1 (UR)",
"1103205",0,14,0,10,21,15,18,22,13,22,13,9,3,4,0,19,53,239,
"1103206",0,7,0,3,0,6,4,5,5,8,3,0,0,0,0,11,11,71,
"1103207",0,27,5,20,23,20,21,22,36,24,26,15,5,7,0,12,27,298,
"1103208",3,15,14,18,22,36,29,28,57,49,39,21,15,8,9,29,61,446,
"1103210",0,13,4,3,10,14,16,21,17,18,0,4,4,6,4,13,35,169,
"1103211",0,42,18,35,46,36,44,32,44,33,33,24,19,11,3,30,116,575,
"1103212",0,28,22,31,25,35,33,30,31,27,17,25,11,21,0,37,99,472,
"1103213",0,8,3,0,5,0,7,7,11,9,5,6,3,3,3,6,12,90,
"1103214",0,35,31,27,37,36,52,45,47,47,27,27,17,26,3,25,121,605,
"1103215",0,15,6,13,17,7,16,13,10,18,10,5,7,0,0,9,48,211,
"1103216",0,21,7,17,26,17,31,26,28,21,12,10,12,7,0,15,61,320,
"1103217",0,15,8,14,10,10,9,12,23,14,9,3,6,12,0,6,17,160,
"1103218",0,31,22,27,21,24,20,32,37,47,18,25,15,19,5,13,82,444,
"1103219",4,22,9,5,12,11,20,22,44,33,25,26,27,18,8,20,66,358,
"1103220",4,21,11,11,26,39,31,26,31,26,30,19,14,15,5,35,26,352,
"1103221",0,15,13,14,23,20,17,17,33,25,16,16,10,14,0,23,21,285,
"1103223",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"1103224",5,27,5,17,27,30,30,43,51,47,19,21,9,9,4,66,50,460,
"1103225",0,18,7,18,12,15,12,16,18,20,22,9,13,5,4,11,46,233,
"1103226",0,14,4,12,14,23,17,20,31,25,10,9,11,7,0,21,22,234,
"1103227",0,36,13,58,58,54,43,38,31,20,14,16,4,0,6,58,110,562,
"1103228",0,27,17,48,68,96,39,46,34,42,28,25,21,28,13,57,92,699,
"1103229",0,26,15,24,38,35,40,28,25,22,19,16,14,13,10,38,75,447,
"1103230",0,28,9,42,58,53,39,40,37,34,23,15,8,14,6,45,72,524,
"1103231",4,36,18,25,31,32,46,42,34,37,18,19,14,15,9,26,95,498,
"1103232",0,33,21,24,58,52,22,29,32,22,17,23,9,10,6,16,89,464,
"1103233",0,22,11,20,28,16,23,22,18,27,16,14,4,12,4,20,95,360,
"1103234",0,60,27,46,48,45,43,43,50,63,38,29,22,35,15,35,146,745,
"1103235",0,18,14,26,43,40,31,32,20,23,17,12,17,5,0,18,55,374,
"1103236",0,18,9,38,43,56,28,37,35,27,19,23,3,6,3,75,37,462,
"1103237",5,26,3,21,17,21,25,28,29,21,11,15,4,9,4,22,49,330,
"1103238",0,31,20,17,11,9,9,8,19,26,18,18,21,29,41,24,51,360,
"1103239",0,26,14,40,51,50,46,38,37,38,21,20,22,36,26,36,88,597,
"1103240",0,15,5,16,52,73,34,28,26,19,13,11,4,9,0,29,35,375,
"1103241",3,25,12,27,28,31,33,35,39,31,13,16,11,17,8,48,50,422,
"1103242",0,28,24,40,60,64,46,58,54,44,25,14,8,9,3,73,75,625,
"1103243",3,31,21,21,30,33,28,27,39,29,19,20,25,22,28,45,80,524,
"1103244",0,30,25,44,80,90,58,37,29,39,13,16,6,21,5,113,57,646,
"1103245",0,28,13,14,29,28,22,16,17,24,9,17,16,13,3,43,33,324,
"1103246",0,19,23,12,15,21,13,27,21,21,17,18,8,11,7,13,73,337,
"1103247",6,33,17,31,13,8,25,27,12,30,18,17,15,29,14,21,103,408,
"1103248",0,21,13,26,27,27,31,31,37,32,15,8,11,7,3,45,52,388,
"1103301",0,16,19,16,9,17,12,16,15,11,11,14,12,11,0,10,41,220,
"1103302",0,34,14,18,36,28,29,43,39,23,20,23,14,23,4,26,120,495,
"1103303",0,34,14,21,19,19,12,18,26,28,23,21,11,16,10,16,99,394,
"1103304",0,26,15,22,21,9,17,29,27,22,16,14,7,11,5,23,65,336,
"1103305",0,28,14,7,21,18,21,21,20,23,20,15,11,5,4,10,71,304,
"1103306",0,27,3,14,13,11,18,12,23,23,9,15,8,16,0,14,54,264,
"1103307",0,21,5,6,9,11,6,5,13,15,8,0,13,6,3,7,66,208,
"1103308",0,33,19,26,25,18,25,33,20,19,11,20,12,16,8,18,109,413,
"1103309",0,28,10,6,5,0,4,0,0,3,0,0,0,0,0,137,5,192,
"1103310",0,29,8,13,17,17,14,21,16,27,25,16,14,13,6,12,73,329,
"1103311",0,32,19,26,22,20,29,21,30,18,16,19,18,11,6,26,77,379,
"1103312",0,25,7,16,18,22,19,12,23,19,22,17,6,17,7,21,70,316,
"1103313",0,13,8,11,15,27,15,16,13,18,30,14,8,14,7,16,66,299,
"1103314",0,21,15,26,19,8,17,25,33,22,18,16,18,9,3,19,99,356,
"1103315",4,50,32,45,33,44,37,46,63,68,43,41,14,41,9,35,152,766,
"1103316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1103317",0,35,23,38,28,41,25,31,27,37,35,23,17,12,4,37,111,525,
"1103318",0,8,10,12,17,12,11,11,8,13,8,11,10,11,6,17,49,201,
"1103319",0,28,20,26,19,17,20,28,28,21,21,21,11,14,3,4,87,365,
"1103320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1103401",0,23,12,29,45,34,19,26,27,22,14,15,11,15,8,6,101,408,
"1103402",0,21,7,22,25,27,26,21,20,29,7,17,7,10,6,14,59,315,
"1103403",0,36,25,42,56,56,46,31,42,44,21,17,16,17,4,36,111,608,
"1103404",0,28,7,12,21,23,15,19,20,12,25,12,10,8,5,0,50,269,
"1103405",0,19,15,29,30,32,19,23,25,20,15,19,20,10,3,20,96,396,
